,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,448111,0,22.3,90.0
1,2018-02-01,462433,0,51.1,98.7
2,2018-03-01,473931,0,17.9,96.8
3,2018-04-01,439554,0,24.9,89.1
4,2018-05-01,457660,0,22.4,79.6
5,2018-06-01,427560,0,41.6,95.0
6,2018-07-01,417922,0,45.8,88.6
7,2018-08-01,460213,0,25.6,77.6
8,2018-09-01,463095,0,51.7,78.5
9,2018-10-01,484659,0,33.5,82.0
10,2018-11-01,460398,0,17.3,86.7
11,2018-12-01,448930,0,23.3,85.9
12,2019-01-01,478056,0,47.1,78.0
13,2019-02-01,488246,0,10.2,83.5
14,2019-03-01,500711,0,12.2,78.3
15,2019-04-01,480342,0,45.3,87.0
16,2019-05-01,484825,0,35.2,97.9
17,2019-06-01,456078,0,16.4,92.6
18,2019-07-01,450539,0,51.3,82.0
19,2019-08-01,464939,0,52.0,81.0
20,2019-09-01,509973,0,27.4,84.6
21,2019-10-01,519143,0,50.2,97.1
22,2019-11-01,487714,0,17.8,85.5
23,2019-12-01,498051,0,46.2,78.3
24,2020-01-01,521951,0,21.3,85.0
25,2020-02-01,506682,0,23.7,82.1
26,2020-03-01,531549,0,30.8,79.4
27,2020-04-01,504163,0,47.5,77.3
28,2020-05-01,498731,0,41.2,87.1
29,2020-06-01,480384,0,26.1,83.5
30,2020-07-01,476214,0,53.3,86.1
31,2020-08-01,516947,0,11.2,93.4
32,2020-09-01,518830,0,16.3,96.8
33,2020-10-01,543438,0,36.1,84.0
34,2020-11-01,514690,0,50.5,96.1
35,2020-12-01,499411,0,48.0,78.0
36,2021-01-01,546621,0,30.8,93.3
37,2021-02-01,543969,0,47.8,77.0
38,2021-03-01,538141,0,54.4,77.6
39,2021-04-01,524809,0,47.0,88.6
40,2021-05-01,530022,0,48.9,77.9
41,2021-06-01,502432,0,33.0,92.2
42,2021-07-01,508031,0,33.2,88.5
43,2021-08-01,545428,0,16.1,96.5
44,2021-09-01,564051,0,17.0,90.1
45,2021-10-01,569032,0,52.1,94.3
46,2021-11-01,541061,0,19.0,76.6
47,2021-12-01,528024,0,49.6,87.5
48,2022-01-01,559874,0,14.7,75.6
49,2022-02-01,570978,0,27.6,97.2
50,2022-03-01,566183,0,31.8,79.4
51,2022-04-01,539234,0,48.1,81.2
52,2022-05-01,553845,0,29.8,90.8
53,2022-06-01,512820,0,16.6,75.5
54,2022-07-01,515423,0,43.5,80.8
55,2022-08-01,557030,0,41.5,79.8
56,2022-09-01,586074,0,23.0,77.4
57,2022-10-01,592182,0,26.5,81.6
58,2022-11-01,559311,0,46.0,86.1
59,2022-12-01,575977,0,16.7,81.8
60,2023-01-01,582312,0,27.5,88.9
61,2023-02-01,581455,0,39.3,90.8
62,2023-03-01,598460,0,50.9,83.5
63,2023-04-01,561618,0,49.7,86.0
64,2023-05-01,559244,0,17.1,87.0
65,2023-06-01,561373,0,19.5,96.7
66,2023-07-01,552365,0,33.1,79.2
67,2023-08-01,570550,0,39.5,88.5
68,2023-09-01,612666,0,48.6,78.4
69,2023-10-01,626982,0,39.6,97.2
70,2023-11-01,573996,0,47.8,86.6
71,2023-12-01,607851,0,37.3,79.3
