,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,45592,968.5,11.4,87.0
1,2018-02-01,43932,1103.85,54.8,98.7
2,2018-03-01,45181,1178.8,53.0,86.6
3,2018-04-01,43434,414.73,17.7,97.7
4,2018-05-01,44063,253.4,54.7,75.7
5,2018-06-01,42635,512.01,27.3,81.7
6,2018-07-01,42316,909.14,52.8,91.1
7,2018-08-01,44616,1209.6,38.5,86.8
8,2018-09-01,47436,519.38,20.1,88.8
9,2018-10-01,48024,205.66,25.4,96.8
10,2018-11-01,45468,978.28,39.4,93.8
11,2018-12-01,46287,641.25,20.5,81.2
12,2019-01-01,46906,260.32,25.3,89.2
13,2019-02-01,46832,1232.15,35.8,78.1
14,2019-03-01,47411,574.83,43.2,82.5
15,2019-04-01,46125,352.13,27.5,85.2
16,2019-05-01,46839,1063.1,52.0,78.0
17,2019-06-01,44419,821.21,14.8,75.2
18,2019-07-01,45123,499.63,46.7,82.1
19,2019-08-01,45938,925.58,16.6,81.8
20,2019-09-01,50016,1123.48,47.2,75.8
21,2019-10-01,48974,717.78,41.0,81.6
22,2019-11-01,48352,801.55,38.4,80.2
23,2019-12-01,46981,1260.8,12.6,94.4
24,2020-01-01,49132,968.62,48.2,97.4
25,2020-02-01,49569,990.8,51.5,93.6
26,2020-03-01,51708,981.05,23.5,94.6
27,2020-04-01,49624,316.26,11.0,84.4
28,2020-05-01,48412,683.9,25.7,84.4
29,2020-06-01,45216,980.3,22.7,97.2
30,2020-07-01,47172,771.17,14.4,82.8
31,2020-08-01,50136,1143.05,12.4,97.4
32,2020-09-01,51351,895.92,36.0,85.6
33,2020-10-01,52130,1179.75,19.4,94.3
34,2020-11-01,49001,891.95,26.3,95.5
35,2020-12-01,48928,1049.03,48.6,84.0
36,2021-01-01,54385,924.95,17.6,76.4
37,2021-02-01,52617,684.43,52.5,77.8
38,2021-03-01,53349,526.03,29.5,78.6
39,2021-04-01,51655,416.65,15.3,84.5
40,2021-05-01,50581,827.5,17.8,92.9
41,2021-06-01,49637,1289.66,40.2,77.2
42,2021-07-01,48924,1087.29,27.2,90.2
43,2021-08-01,51653,143.57,15.2,77.9
44,2021-09-01,55102,1192.92,20.1,89.1
45,2021-10-01,56465,691.01,41.2,77.3
46,2021-11-01,52753,579.23,55.0,91.9
47,2021-12-01,52036,276.53,24.6,92.1
48,2022-01-01,56737,758.89,28.2,91.8
49,2022-02-01,55398,1086.43,45.3,87.7
50,2022-03-01,54512,1109.46,34.3,94.7
51,2022-04-01,54010,1011.6,19.3,90.8
52,2022-05-01,52502,1138.54,41.3,75.1
53,2022-06-01,51088,497.73,11.8,88.8
54,2022-07-01,51923,232.75,21.6,93.1
55,2022-08-01,53017,275.92,23.4,98.2
56,2022-09-01,56185,1273.21,39.6,81.0
57,2022-10-01,55971,1236.58,50.7,82.0
58,2022-11-01,55122,293.63,32.1,82.5
59,2022-12-01,56583,1296.25,37.3,87.3
60,2023-01-01,58863,905.26,12.0,75.9
61,2023-02-01,57173,1131.62,19.7,78.2
62,2023-03-01,58836,822.39,22.5,92.5
63,2023-04-01,55809,773.32,21.7,90.6
64,2023-05-01,55147,663.6,52.5,91.2
65,2023-06-01,55089,297.6,19.2,90.1
66,2023-07-01,53128,870.75,39.1,92.1
67,2023-08-01,57139,887.89,33.0,78.9
68,2023-09-01,61148,500.14,45.5,84.1
69,2023-10-01,61890,419.57,22.2,87.8
70,2023-11-01,58194,605.93,24.8,77.1
71,2023-12-01,59190,1040.34,16.6,94.2
