,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,242140,0,15.4,96.5
1,2018-02-01,246032,0,36.6,89.8
2,2018-03-01,248638,0,12.0,92.7
3,2018-04-01,229101,0,30.2,84.8
4,2018-05-01,231545,0,47.6,81.9
5,2018-06-01,221404,0,16.1,79.4
6,2018-07-01,226340,0,51.2,97.5
7,2018-08-01,229759,0,50.3,89.2
8,2018-09-01,246674,0,39.2,84.1
9,2018-10-01,248885,0,32.9,89.1
10,2018-11-01,245422,0,14.4,82.1
11,2018-12-01,237886,0,35.4,96.5
12,2019-01-01,254587,0,48.0,85.2
13,2019-02-01,251857,0,24.3,79.3
14,2019-03-01,250278,0,46.6,92.6
15,2019-04-01,251890,0,19.5,87.5
16,2019-05-01,246948,0,37.7,77.4
17,2019-06-01,231595,0,15.3,81.6
18,2019-07-01,234837,0,49.8,81.9
19,2019-08-01,255485,0,54.5,93.1
20,2019-09-01,269586,0,40.0,78.4
21,2019-10-01,259435,0,47.7,93.1
22,2019-11-01,245473,0,50.6,98.0
23,2019-12-01,254377,0,46.0,75.2
24,2020-01-01,272988,0,11.2,79.9
25,2020-02-01,275964,0,35.7,92.6
26,2020-03-01,270366,0,47.4,82.1
27,2020-04-01,252252,0,41.8,95.3
28,2020-05-01,258569,0,29.5,81.3
29,2020-06-01,252953,0,54.7,92.6
30,2020-07-01,242894,0,25.9,76.9
31,2020-08-01,267459,0,42.7,82.9
32,2020-09-01,277282,0,22.4,90.1
33,2020-10-01,278569,0,45.0,92.0
34,2020-11-01,263274,0,51.6,85.4
35,2020-12-01,274301,0,45.7,82.6
36,2021-01-01,287698,0,39.8,96.1
37,2021-02-01,275224,0,38.6,75.2
38,2021-03-01,278108,0,26.9,97.6
39,2021-04-01,274725,0,21.9,78.6
40,2021-05-01,278171,0,43.0,81.8
41,2021-06-01,255744,0,49.4,97.8
42,2021-07-01,267135,0,43.7,75.1
43,2021-08-01,269251,0,35.1,80.0
44,2021-09-01,285811,0,28.8,81.3
45,2021-10-01,290527,0,36.3,90.3
46,2021-11-01,279562,0,39.6,79.3
47,2021-12-01,277590,0,20.4,82.0
48,2022-01-01,295932,0,45.9,84.4
49,2022-02-01,294838,0,31.6,77.3
50,2022-03-01,291632,0,49.6,93.1
51,2022-04-01,281848,0,53.6,82.8
52,2022-05-01,289418,0,15.2,86.2
53,2022-06-01,270399,0,15.1,91.7
54,2022-07-01,277818,0,44.8,86.6
55,2022-08-01,295326,0,32.0,84.9
56,2022-09-01,300850,0,23.1,87.2
57,2022-10-01,314082,0,45.2,76.5
58,2022-11-01,298207,0,21.8,82.6
59,2022-12-01,292635,0,29.9,84.6
60,2023-01-01,318154,0,22.1,92.5
61,2023-02-01,308667,0,46.8,82.4
62,2023-03-01,311158,0,35.8,79.0
63,2023-04-01,293814,0,38.1,97.7
64,2023-05-01,302260,0,24.8,89.5
65,2023-06-01,278038,0,42.5,94.3
66,2023-07-01,280296,0,41.7,96.9
67,2023-08-01,308479,0,34.9,90.7
68,2023-09-01,320347,0,26.3,79.8
69,2023-10-01,314568,0,34.1,95.6
70,2023-11-01,302031,0,46.1,96.9
71,2023-12-01,305034,0,19.7,92.6
