,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,8993,252.06,43.6,88.4
1,2018-02-01,9381,793.16,31.1,82.5
2,2018-03-01,9317,802.3,17.4,94.3
3,2018-04-01,8920,261.49,14.9,76.9
4,2018-05-01,8940,818.85,11.3,81.8
5,2018-06-01,8503,150.85,36.9,93.2
6,2018-07-01,8426,566.7,38.7,75.8
7,2018-08-01,8890,930.05,35.4,88.5
8,2018-09-01,9677,134.06,24.2,97.6
9,2018-10-01,9275,399.94,22.7,84.6
10,2018-11-01,8978,737.83,42.7,98.4
11,2018-12-01,9300,178.26,28.3,92.8
12,2019-01-01,9462,785.41,16.8,89.1
13,2019-02-01,9670,596.34,48.3,82.0
14,2019-03-01,9580,490.96,49.8,77.2
15,2019-04-01,9485,851.16,46.3,90.7
16,2019-05-01,9557,232.7,53.4,87.4
17,2019-06-01,9099,651.94,51.9,83.2
18,2019-07-01,9172,384.86,26.2,95.5
19,2019-08-01,9496,856.53,44.8,84.3
20,2019-09-01,9882,616.88,13.4,78.7
21,2019-10-01,10181,520.38,46.2,78.4
22,2019-11-01,9880,562.8,53.6,93.8
23,2019-12-01,9468,175.47,24.1,97.4
24,2020-01-01,10032,334.5,26.3,77.1
25,2020-02-01,10087,755.01,21.6,86.4
26,2020-03-01,10180,844.54,39.3,78.4
27,2020-04-01,9659,581.27,11.8,95.6
28,2020-05-01,9867,827.74,51.3,78.1
29,2020-06-01,9395,817.33,52.8,84.0
30,2020-07-01,9616,527.58,21.8,96.0
31,2020-08-01,10166,625.62,39.0,92.8
32,2020-09-01,10441,797.16,10.4,95.5
33,2020-10-01,10516,230.27,28.0,76.8
34,2020-11-01,10117,490.25,14.2,86.2
35,2020-12-01,10316,864.61,30.9,77.1
36,2021-01-01,10936,879.43,51.5,93.4
37,2021-02-01,10636,376.06,24.3,98.9
38,2021-03-01,10868,695.46,31.4,81.7
39,2021-04-01,10114,228.16,31.1,90.4
40,2021-05-01,10333,121.78,37.0,84.1
41,2021-06-01,10225,404.08,29.4,86.4
42,2021-07-01,9738,837.16,52.9,91.4
43,2021-08-01,10430,638.51,13.8,76.7
44,2021-09-01,11086,350.08,42.0,95.9
45,2021-10-01,11212,667.55,21.7,94.9
46,2021-11-01,10444,865.9,25.4,93.1
47,2021-12-01,10533,393.63,28.9,86.4
48,2022-01-01,11460,232.39,41.4,83.5
49,2022-02-01,11509,427.71,10.4,93.8
50,2022-03-01,11490,161.53,40.1,89.8
51,2022-04-01,10807,938.34,52.3,92.8
52,2022-05-01,11122,365.62,16.8,86.0
53,2022-06-01,10237,833.98,15.1,98.3
54,2022-07-01,10441,540.19,10.2,85.8
55,2022-08-01,11317,202.49,30.2,98.3
56,2022-09-01,11414,281.92,54.1,85.1
57,2022-10-01,11774,237.02,27.0,83.4
58,2022-11-01,11531,925.84,36.0,75.3
59,2022-12-01,11481,108.84,50.3,87.1
60,2023-01-01,12140,692.92,39.2,85.9
61,2023-02-01,11860,396.14,34.4,87.6
62,2023-03-01,12160,191.94,17.9,85.3
63,2023-04-01,11221,603.63,34.4,84.2
64,2023-05-01,11724,683.71,29.7,81.8
65,2023-06-01,11032,885.99,48.6,98.9
66,2023-07-01,11196,183.76,39.2,89.8
67,2023-08-01,11554,519.43,43.8,97.3
68,2023-09-01,11948,474.71,36.2,75.8
69,2023-10-01,12133,454.65,20.0,85.9
70,2023-11-01,11662,262.2,31.1,78.0
71,2023-12-01,12120,876.5,28.6,94.7
