,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,473663,0,50.5,90.7
1,2018-02-01,477708,0,49.0,95.5
2,2018-03-01,497483,0,25.6,85.2
3,2018-04-01,471804,0,49.4,97.1
4,2018-05-01,462083,0,26.8,97.4
5,2018-06-01,462815,0,18.8,83.7
6,2018-07-01,443368,0,36.4,82.9
7,2018-08-01,489484,0,51.2,87.1
8,2018-09-01,489272,0,22.3,90.5
9,2018-10-01,510716,0,27.9,98.9
10,2018-11-01,490532,0,22.3,76.4
11,2018-12-01,488998,0,11.4,92.2
12,2019-01-01,512746,0,37.3,85.9
13,2019-02-01,505956,0,43.7,90.5
14,2019-03-01,519886,0,14.7,83.9
15,2019-04-01,499437,0,42.1,91.9
16,2019-05-01,488711,0,48.3,77.0
17,2019-06-01,485169,0,15.4,85.6
18,2019-07-01,483855,0,24.1,95.6
19,2019-08-01,498517,0,48.4,90.7
20,2019-09-01,540530,0,25.0,91.1
21,2019-10-01,548186,0,50.4,79.1
22,2019-11-01,527095,0,42.5,83.8
23,2019-12-01,499453,0,39.9,85.0
24,2020-01-01,548043,0,12.8,79.6
25,2020-02-01,553539,0,16.6,81.4
26,2020-03-01,536652,0,12.0,89.6
27,2020-04-01,529565,0,28.4,90.2
28,2020-05-01,536728,0,52.3,82.5
29,2020-06-01,503641,0,15.3,86.2
30,2020-07-01,514163,0,13.9,97.3
31,2020-08-01,519656,0,51.3,79.4
32,2020-09-01,547932,0,24.3,90.0
33,2020-10-01,548039,0,17.6,75.3
34,2020-11-01,544179,0,30.7,96.1
35,2020-12-01,556423,0,23.9,91.3
36,2021-01-01,586700,0,48.9,92.9
37,2021-02-01,582132,0,24.0,84.1
38,2021-03-01,568981,0,22.6,88.6
39,2021-04-01,548351,0,47.6,81.5
40,2021-05-01,543504,0,54.1,81.2
41,2021-06-01,526086,0,14.2,83.5
42,2021-07-01,525843,0,44.8,87.6
43,2021-08-01,571461,0,40.9,79.1
44,2021-09-01,606753,0,36.3,78.7
45,2021-10-01,595670,0,54.7,85.4
46,2021-11-01,572242,0,40.7,81.9
47,2021-12-01,564175,0,53.6,88.2
48,2022-01-01,609218,0,22.1,87.3
49,2022-02-01,592406,0,19.8,81.3
50,2022-03-01,620604,0,33.3,90.1
51,2022-04-01,577894,0,31.0,82.8
52,2022-05-01,583275,0,39.6,96.6
53,2022-06-01,548275,0,14.7,83.6
54,2022-07-01,569750,0,17.1,86.4
55,2022-08-01,582180,0,50.6,79.5
56,2022-09-01,614470,0,17.3,88.1
57,2022-10-01,631571,0,29.8,89.8
58,2022-11-01,598172,0,41.3,92.5
59,2022-12-01,596182,0,21.0,92.4
60,2023-01-01,633208,0,31.7,84.6
61,2023-02-01,614375,0,51.8,80.6
62,2023-03-01,650763,0,51.7,77.6
63,2023-04-01,603619,0,22.1,88.9
64,2023-05-01,612011,0,17.4,79.0
65,2023-06-01,573419,0,36.9,91.7
66,2023-07-01,583387,0,52.8,88.6
67,2023-08-01,602190,0,39.9,93.9
68,2023-09-01,631322,0,14.1,94.0
69,2023-10-01,637093,0,25.6,84.5
70,2023-11-01,620920,0,39.6,79.8
71,2023-12-01,612397,0,23.8,79.4
