,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,9042,3695.67,16.6,87.7
1,2018-02-01,9238,6872.11,17.6,76.9
2,2018-03-01,9453,5557.9,20.8,96.9
3,2018-04-01,8661,4352.05,21.4,81.1
4,2018-05-01,8632,6964.23,50.6,91.3
5,2018-06-01,8316,4204.36,25.6,89.1
6,2018-07-01,8602,4071.87,21.3,95.3
7,2018-08-01,8861,3770.59,31.7,80.7
8,2018-09-01,9561,5216.44,54.7,82.1
9,2018-10-01,9840,5850.84,22.4,88.6
10,2018-11-01,9256,6508.21,12.2,89.6
11,2018-12-01,9195,7721.1,22.9,94.2
12,2019-01-01,9765,3524.4,38.6,89.9
13,2019-02-01,9852,6327.66,39.7,95.1
14,2019-03-01,9869,7715.39,39.1,82.4
15,2019-04-01,9337,5252.66,43.0,77.2
16,2019-05-01,9298,6529.59,17.9,78.2
17,2019-06-01,9006,8233.18,33.9,96.9
18,2019-07-01,9205,2799.26,47.1,86.6
19,2019-08-01,9720,6522.58,25.2,77.8
20,2019-09-01,10347,1915.46,53.5,95.6
21,2019-10-01,10249,8297.46,53.5,94.3
22,2019-11-01,9596,6858.14,10.6,87.9
23,2019-12-01,9691,5961.86,40.3,89.0
24,2020-01-01,10447,7995.92,14.9,80.6
25,2020-02-01,10001,7569.61,35.3,97.0
26,2020-03-01,10167,1325.77,47.1,96.8
27,2020-04-01,9774,3950.09,16.3,97.7
28,2020-05-01,9818,4591.41,14.4,96.3
29,2020-06-01,9272,4294.96,40.2,92.8
30,2020-07-01,9775,4032.46,43.4,78.7
31,2020-08-01,10013,1598.06,32.0,84.8
32,2020-09-01,10901,1093.81,26.7,85.6
33,2020-10-01,10947,7350.7,14.5,91.5
34,2020-11-01,10222,8281.49,26.1,84.6
35,2020-12-01,10048,1774.02,48.2,85.9
36,2021-01-01,10901,5725.16,36.9,75.5
37,2021-02-01,11028,2697.34,15.7,88.5
38,2021-03-01,10605,6664.02,19.3,80.2
39,2021-04-01,10643,3343.7,16.6,96.6
40,2021-05-01,10143,7373.18,16.5,78.1
41,2021-06-01,9824,2172.05,39.7,75.6
42,2021-07-01,9723,6852.83,20.7,82.8
43,2021-08-01,10379,1243.49,43.4,87.6
44,2021-09-01,11325,4466.85,45.0,87.3
45,2021-10-01,10943,4676.69,52.5,76.0
46,2021-11-01,10898,7438.39,33.5,86.0
47,2021-12-01,11059,1307.58,31.6,84.6
48,2022-01-01,11469,4573.49,50.9,76.8
49,2022-02-01,11102,5471.1,13.0,81.6
50,2022-03-01,11525,5015.25,24.6,98.9
51,2022-04-01,10953,4295.51,37.2,77.4
52,2022-05-01,11109,7330.49,39.3,93.5
53,2022-06-01,10607,2480.25,30.3,80.5
54,2022-07-01,10408,4293.86,28.7,77.3
55,2022-08-01,11057,5903.15,26.8,78.7
56,2022-09-01,12004,1355.55,47.4,77.2
57,2022-10-01,11468,6463.54,46.5,88.4
58,2022-11-01,11295,5115.86,24.8,77.9
59,2022-12-01,11181,5904.91,43.8,95.8
60,2023-01-01,12047,8209.67,37.0,83.4
61,2023-02-01,11991,2462.88,39.6,80.4
62,2023-03-01,11699,7274.06,26.5,93.3
63,2023-04-01,11504,6983.92,48.0,98.4
64,2023-05-01,11716,5511.22,38.9,75.6
65,2023-06-01,11245,7153.05,22.0,79.3
66,2023-07-01,11138,3194.83,25.3,75.1
67,2023-08-01,11885,5151.87,28.0,78.4
68,2023-09-01,12352,1078.15,43.6,80.2
69,2023-10-01,12240,3437.51,26.7,92.3
70,2023-11-01,11952,5161.55,13.8,76.3
71,2023-12-01,11558,5543.66,40.3,81.5
