,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,21898,742.07,26.2,79.8
1,2018-02-01,22462,2640.76,27.9,97.2
2,2018-03-01,23001,1620.5,32.0,85.7
3,2018-04-01,22378,2688.33,34.8,83.3
4,2018-05-01,22327,1697.25,47.4,77.2
5,2018-06-01,20298,737.9,48.4,93.7
6,2018-07-01,20632,1526.0,20.1,80.0
7,2018-08-01,22405,2865.96,48.9,98.2
8,2018-09-01,23682,2686.11,16.0,79.2
9,2018-10-01,23963,1537.1,37.4,97.6
10,2018-11-01,22811,3766.0,22.4,96.5
11,2018-12-01,23108,2616.8,19.8,82.3
12,2019-01-01,23904,3372.35,36.3,75.2
13,2019-02-01,24705,4946.17,47.8,88.5
14,2019-03-01,24234,1807.49,40.8,86.6
15,2019-04-01,22831,1779.06,24.6,81.6
16,2019-05-01,23381,4880.54,39.3,79.5
17,2019-06-01,22130,1612.99,12.6,95.6
18,2019-07-01,22622,2364.81,24.4,78.4
19,2019-08-01,22816,2792.94,23.3,96.8
20,2019-09-01,24629,3891.6,36.2,98.9
21,2019-10-01,25355,2085.14,42.1,91.5
22,2019-11-01,24002,2693.62,52.3,83.6
23,2019-12-01,23625,1290.24,39.6,88.4
24,2020-01-01,24907,2670.88,43.3,92.4
25,2020-02-01,25421,4698.95,52.6,96.6
26,2020-03-01,25679,1530.14,20.0,95.9
27,2020-04-01,24222,4580.61,26.7,89.1
28,2020-05-01,24392,1050.62,12.4,90.2
29,2020-06-01,23437,3358.81,31.2,79.7
30,2020-07-01,22891,3634.4,33.8,84.9
31,2020-08-01,25317,1202.07,54.7,83.2
32,2020-09-01,26879,4608.16,54.4,78.4
33,2020-10-01,26798,1337.84,13.6,83.0
34,2020-11-01,25818,1948.57,12.6,85.8
35,2020-12-01,24753,4060.56,35.9,78.8
36,2021-01-01,27019,4089.06,15.8,85.4
37,2021-02-01,26563,2479.23,31.5,75.1
38,2021-03-01,26843,3863.73,52.8,96.4
39,2021-04-01,26014,2947.45,10.8,75.1
40,2021-05-01,26087,1548.56,49.5,82.5
41,2021-06-01,23956,2820.31,23.8,76.6
42,2021-07-01,23971,4863.45,30.5,87.5
43,2021-08-01,26084,2500.52,40.9,78.2
44,2021-09-01,28278,2759.92,43.8,79.0
45,2021-10-01,28246,4237.12,10.9,80.4
46,2021-11-01,27134,1479.36,11.0,87.1
47,2021-12-01,25875,3774.0,45.6,84.0
48,2022-01-01,28144,4050.04,38.0,89.3
49,2022-02-01,27261,1006.24,47.6,76.2
50,2022-03-01,27485,2549.4,15.6,81.1
51,2022-04-01,27226,1453.22,40.9,75.2
52,2022-05-01,26879,973.5,33.4,89.9
53,2022-06-01,26069,2432.41,50.4,87.3
54,2022-07-01,26042,1807.62,45.3,86.9
55,2022-08-01,27506,4080.83,47.4,98.4
56,2022-09-01,28560,2390.78,17.2,88.2
57,2022-10-01,29630,3668.86,31.6,80.6
58,2022-11-01,26839,918.52,15.0,88.8
59,2022-12-01,27745,4867.96,45.1,76.8
60,2023-01-01,29647,4662.94,39.0,86.0
61,2023-02-01,30207,1722.33,12.3,94.5
62,2023-03-01,30140,4421.82,26.2,91.2
63,2023-04-01,28056,1041.99,48.3,96.4
64,2023-05-01,27456,1145.23,39.1,82.9
65,2023-06-01,27614,4893.86,22.1,92.6
66,2023-07-01,26870,2083.1,15.1,84.6
67,2023-08-01,28534,4345.9,41.0,86.5
68,2023-09-01,30009,4577.31,17.5,78.2
69,2023-10-01,30674,5015.4,48.0,77.5
70,2023-11-01,29643,2725.48,35.6,85.5
71,2023-12-01,29229,4086.36,37.5,95.7
