,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,60049,1316.44,40.6,75.8
1,2018-02-01,60728,1123.82,10.9,82.5
2,2018-03-01,58187,4076.19,28.5,93.6
3,2018-04-01,58314,5003.28,43.1,76.5
4,2018-05-01,55916,1619.33,24.6,90.9
5,2018-06-01,54648,2160.43,17.8,96.9
6,2018-07-01,54311,2366.55,44.7,92.3
7,2018-08-01,58493,4090.5,37.5,79.6
8,2018-09-01,60256,3402.87,20.1,98.3
9,2018-10-01,60733,2034.59,19.3,91.9
10,2018-11-01,58185,2338.66,52.0,94.1
11,2018-12-01,58306,1184.73,40.4,84.1
12,2019-01-01,64154,4726.45,53.0,94.3
13,2019-02-01,61863,2027.6,42.1,83.3
14,2019-03-01,62725,1869.02,31.6,79.8
15,2019-04-01,60364,5309.43,41.3,78.3
16,2019-05-01,60923,3549.03,20.9,91.1
17,2019-06-01,57851,3808.95,12.4,84.9
18,2019-07-01,58765,1076.27,44.7,75.1
19,2019-08-01,61525,5289.47,28.3,97.4
20,2019-09-01,66169,2992.83,19.0,98.1
21,2019-10-01,64295,3849.39,50.9,77.1
22,2019-11-01,62453,3286.25,42.5,97.5
23,2019-12-01,64004,1455.2,49.7,79.2
24,2020-01-01,67529,5635.62,27.9,86.9
25,2020-02-01,67897,5457.44,51.7,96.0
26,2020-03-01,64499,3453.09,14.8,98.6
27,2020-04-01,62749,5594.57,34.4,86.9
28,2020-05-01,65529,4892.64,31.1,79.6
29,2020-06-01,59506,1391.28,30.7,81.2
30,2020-07-01,60035,4310.7,45.6,88.6
31,2020-08-01,65684,1457.39,48.5,96.5
32,2020-09-01,69551,3185.2,13.9,91.1
33,2020-10-01,67210,1280.01,24.6,81.0
34,2020-11-01,64582,1762.63,43.9,97.9
35,2020-12-01,65019,4240.86,10.5,90.7
36,2021-01-01,70186,880.9,15.3,82.4
37,2021-02-01,69281,3120.32,50.3,91.9
38,2021-03-01,69176,1162.06,51.2,82.1
39,2021-04-01,67377,1679.27,16.0,78.7
40,2021-05-01,68194,3645.18,28.7,88.2
41,2021-06-01,63988,3298.28,39.9,80.2
42,2021-07-01,63390,4402.85,49.3,77.0
43,2021-08-01,67814,4143.65,13.5,88.5
44,2021-09-01,69840,3349.8,32.7,88.7
45,2021-10-01,70506,2233.48,33.4,77.8
46,2021-11-01,67651,3530.31,14.1,87.2
47,2021-12-01,70428,2870.7,33.1,86.0
48,2022-01-01,70963,2916.19,46.3,92.4
49,2022-02-01,72733,4716.66,43.6,88.9
50,2022-03-01,71478,2316.93,12.9,98.9
51,2022-04-01,72094,915.96,52.0,75.8
52,2022-05-01,70155,4475.22,44.5,98.5
53,2022-06-01,67868,2702.54,54.7,84.2
54,2022-07-01,69042,5175.91,26.9,91.4
55,2022-08-01,72070,3307.34,39.4,83.3
56,2022-09-01,73788,3296.96,33.8,92.5
57,2022-10-01,74275,582.66,11.0,82.2
58,2022-11-01,72966,3333.5,33.9,94.8
59,2022-12-01,71394,2325.22,22.4,97.5
60,2023-01-01,77442,1138.81,46.4,85.1
61,2023-02-01,77927,5058.9,10.7,79.9
62,2023-03-01,75152,735.74,36.9,91.9
63,2023-04-01,71615,4330.65,28.1,80.6
64,2023-05-01,72633,4957.07,12.5,87.1
65,2023-06-01,69566,4713.27,42.9,82.7
66,2023-07-01,71138,3984.82,24.4,82.2
67,2023-08-01,73124,3922.18,19.9,82.2
68,2023-09-01,76678,5388.23,49.6,96.9
69,2023-10-01,79643,2737.31,32.3,98.3
70,2023-11-01,77562,3978.78,45.4,82.6
71,2023-12-01,75458,1323.77,26.9,93.1
