,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,37431,2165.09,48.6,78.5
1,2018-02-01,38127,1085.81,28.6,85.0
2,2018-03-01,38470,3214.48,21.5,82.9
3,2018-04-01,35824,3609.38,26.7,87.9
4,2018-05-01,37662,1046.64,27.0,89.5
5,2018-06-01,34283,1183.37,46.2,89.1
6,2018-07-01,35792,2111.5,19.4,96.8
7,2018-08-01,37030,6564.38,19.5,79.6
8,2018-09-01,40108,5521.17,43.9,96.9
9,2018-10-01,40191,5243.75,27.8,80.7
10,2018-11-01,37606,2536.49,31.0,90.6
11,2018-12-01,37754,3029.31,49.7,86.2
12,2019-01-01,41024,5363.73,44.3,82.7
13,2019-02-01,39760,2728.65,12.1,95.7
14,2019-03-01,41259,819.38,34.9,89.0
15,2019-04-01,39428,2614.56,18.8,80.5
16,2019-05-01,39258,2296.27,34.8,97.6
17,2019-06-01,36947,5627.23,32.0,92.4
18,2019-07-01,38021,3680.43,43.0,83.5
19,2019-08-01,38778,4232.03,18.3,96.3
20,2019-09-01,43036,6874.82,33.6,95.1
21,2019-10-01,40922,5978.8,12.2,75.2
22,2019-11-01,39301,4773.57,13.1,78.6
23,2019-12-01,39674,3649.42,12.7,90.3
24,2020-01-01,43670,6588.56,39.7,75.4
25,2020-02-01,42834,3361.96,10.8,92.3
26,2020-03-01,43033,2559.84,32.6,91.7
27,2020-04-01,40905,6762.05,18.1,97.0
28,2020-05-01,41317,2265.63,37.9,81.1
29,2020-06-01,39021,5830.42,13.6,98.0
30,2020-07-01,39438,2280.04,41.4,82.2
31,2020-08-01,42619,1233.77,54.6,90.6
32,2020-09-01,42837,3322.97,27.0,86.4
33,2020-10-01,44628,5237.81,13.7,95.3
34,2020-11-01,42705,2846.73,54.0,98.4
35,2020-12-01,43524,6629.74,20.3,96.6
36,2021-01-01,45350,4362.26,22.2,97.2
37,2021-02-01,45520,2519.2,34.4,90.8
38,2021-03-01,44341,6187.5,10.7,80.0
39,2021-04-01,42315,5996.14,46.9,97.3
40,2021-05-01,42895,4344.07,35.5,95.4
41,2021-06-01,41858,4193.52,27.3,92.8
42,2021-07-01,42314,5150.71,13.5,92.9
43,2021-08-01,43552,1343.61,20.4,76.8
44,2021-09-01,46638,4665.22,36.8,98.3
45,2021-10-01,46050,4795.58,45.3,85.8
46,2021-11-01,43773,4273.8,26.9,79.5
47,2021-12-01,44909,3160.77,44.7,82.1
48,2022-01-01,46386,1188.02,22.1,84.1
49,2022-02-01,48097,1707.77,27.5,83.7
50,2022-03-01,46317,6782.95,30.0,93.3
51,2022-04-01,44316,1276.76,29.4,88.4
52,2022-05-01,45614,1379.69,14.0,88.3
53,2022-06-01,43725,5762.86,48.9,75.3
54,2022-07-01,43418,5728.95,42.6,88.4
55,2022-08-01,47484,2277.05,33.4,91.4
56,2022-09-01,47652,2445.49,22.1,78.5
57,2022-10-01,47830,2490.81,23.5,93.8
58,2022-11-01,46272,6791.07,42.4,86.9
59,2022-12-01,47169,3661.34,16.1,75.2
60,2023-01-01,49063,6130.78,27.1,95.7
61,2023-02-01,49384,3486.02,47.1,90.6
62,2023-03-01,50032,2648.3,37.1,91.7
63,2023-04-01,47502,1858.1,27.9,82.7
64,2023-05-01,48415,4787.73,53.5,93.8
65,2023-06-01,45050,2518.73,45.4,83.8
66,2023-07-01,46882,2000.71,54.9,79.3
67,2023-08-01,49058,888.21,42.7,97.6
68,2023-09-01,49999,5848.11,47.4,76.7
69,2023-10-01,52141,5831.12,40.3,78.3
70,2023-11-01,48245,2341.01,16.9,85.2
71,2023-12-01,48641,3604.74,36.9,89.0
