,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,22489,553.37,35.4,89.7
1,2018-02-01,23606,434.82,19.2,88.3
2,2018-03-01,23123,247.81,35.2,86.6
3,2018-04-01,22700,588.89,44.8,84.6
4,2018-05-01,21681,833.58,15.4,80.5
5,2018-06-01,21516,906.6,14.5,87.2
6,2018-07-01,21624,779.73,37.6,91.4
7,2018-08-01,21882,427.68,38.6,94.3
8,2018-09-01,24184,498.28,37.0,77.1
9,2018-10-01,23499,412.06,37.4,92.4
10,2018-11-01,23400,437.55,39.5,81.9
11,2018-12-01,23556,144.13,44.8,79.2
12,2019-01-01,24170,104.16,48.3,97.3
13,2019-02-01,24318,261.51,45.3,87.3
14,2019-03-01,24696,620.99,40.3,83.6
15,2019-04-01,23568,929.18,13.9,81.6
16,2019-05-01,23318,667.56,28.2,79.8
17,2019-06-01,21738,696.6,51.4,88.2
18,2019-07-01,22797,573.04,36.2,83.3
19,2019-08-01,24234,288.48,53.3,85.9
20,2019-09-01,24942,98.98,17.9,87.1
21,2019-10-01,25289,525.21,25.3,77.8
22,2019-11-01,24127,315.33,34.2,94.0
23,2019-12-01,23853,473.57,27.0,86.6
24,2020-01-01,25147,385.41,44.9,91.4
25,2020-02-01,26264,832.03,31.7,81.2
26,2020-03-01,25586,769.3,19.9,91.8
27,2020-04-01,25093,447.62,25.9,87.9
28,2020-05-01,25055,320.16,22.9,84.6
29,2020-06-01,23974,387.4,35.0,79.3
30,2020-07-01,23459,281.87,35.8,79.4
31,2020-08-01,25451,890.37,18.6,92.7
32,2020-09-01,26028,301.96,21.9,80.5
33,2020-10-01,27096,810.07,26.0,93.7
34,2020-11-01,24826,162.11,53.0,86.8
35,2020-12-01,24758,827.81,53.1,95.4
36,2021-01-01,26695,364.68,50.4,96.1
37,2021-02-01,27137,329.9,18.2,93.3
38,2021-03-01,27148,435.19,43.8,78.1
39,2021-04-01,25986,456.82,52.3,75.8
40,2021-05-01,25815,830.64,44.9,86.0
41,2021-06-01,24288,538.07,24.2,75.2
42,2021-07-01,25217,419.41,14.5,83.7
43,2021-08-01,26951,255.02,21.8,81.5
44,2021-09-01,28576,388.35,18.3,85.2
45,2021-10-01,27789,738.13,26.4,84.6
46,2021-11-01,26624,583.56,54.1,91.5
47,2021-12-01,27316,711.3,46.2,88.3
48,2022-01-01,28869,262.63,46.0,92.7
49,2022-02-01,28332,103.33,29.0,78.2
50,2022-03-01,29164,634.21,34.0,82.6
51,2022-04-01,27221,309.58,48.6,76.1
52,2022-05-01,26693,234.66,19.7,81.1
53,2022-06-01,26617,177.34,43.5,81.2
54,2022-07-01,25970,571.66,46.5,83.3
55,2022-08-01,27529,395.18,40.6,89.5
56,2022-09-01,29308,650.63,34.2,98.5
57,2022-10-01,28908,372.95,33.0,93.6
58,2022-11-01,27911,162.04,37.6,86.1
59,2022-12-01,28878,837.36,38.8,97.3
60,2023-01-01,29488,618.53,28.2,96.8
61,2023-02-01,28990,388.8,24.1,90.7
62,2023-03-01,30231,612.6,27.8,96.3
63,2023-04-01,29022,897.65,43.7,87.5
64,2023-05-01,28563,238.06,48.4,78.0
65,2023-06-01,26884,310.16,43.5,93.0
66,2023-07-01,26945,434.47,14.3,97.5
67,2023-08-01,28926,141.02,44.7,87.6
68,2023-09-01,31444,183.86,37.8,77.0
69,2023-10-01,31442,428.32,20.3,92.7
70,2023-11-01,29197,203.08,33.7,79.1
71,2023-12-01,28585,400.1,51.2,95.7
