,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,64129,992.85,31.7,86.7
1,2018-02-01,65059,546.28,12.9,90.7
2,2018-03-01,62026,969.65,33.6,92.8
3,2018-04-01,61974,331.75,53.0,96.0
4,2018-05-01,61523,791.36,37.8,85.4
5,2018-06-01,59462,587.11,39.9,90.4
6,2018-07-01,57707,928.17,50.1,89.7
7,2018-08-01,60525,1035.03,32.8,86.3
8,2018-09-01,65768,273.75,43.8,82.7
9,2018-10-01,65428,385.38,32.8,88.2
10,2018-11-01,62790,918.93,13.5,85.7
11,2018-12-01,63829,197.14,32.4,82.6
12,2019-01-01,68977,847.79,10.8,84.7
13,2019-02-01,65482,653.61,47.2,94.0
14,2019-03-01,69553,741.16,50.1,88.5
15,2019-04-01,65350,561.65,25.3,94.8
16,2019-05-01,66285,945.87,24.9,93.4
17,2019-06-01,62454,819.49,26.3,85.9
18,2019-07-01,60860,762.32,10.1,83.5
19,2019-08-01,66478,901.91,34.6,84.0
20,2019-09-01,67918,997.91,32.2,94.7
21,2019-10-01,70893,515.12,21.4,79.7
22,2019-11-01,65327,953.67,19.7,94.8
23,2019-12-01,65901,444.55,44.1,76.1
24,2020-01-01,71386,775.42,15.5,96.4
25,2020-02-01,70953,693.42,32.7,98.1
26,2020-03-01,69325,838.85,34.9,85.4
27,2020-04-01,68696,1025.13,45.1,96.8
28,2020-05-01,69437,281.91,46.7,77.5
29,2020-06-01,66118,710.1,24.5,96.2
30,2020-07-01,65463,712.9,41.2,81.0
31,2020-08-01,69120,449.43,23.2,94.3
32,2020-09-01,71746,706.5,49.9,87.3
33,2020-10-01,75169,652.33,24.1,92.7
34,2020-11-01,70672,325.17,19.4,92.1
35,2020-12-01,71537,1021.98,16.0,92.0
36,2021-01-01,76724,286.03,34.4,90.3
37,2021-02-01,75858,863.17,35.3,89.0
38,2021-03-01,77225,813.02,40.3,96.5
39,2021-04-01,72091,978.7,29.0,75.3
40,2021-05-01,70538,487.06,12.4,76.4
41,2021-06-01,67953,887.68,54.3,91.4
42,2021-07-01,67733,171.41,45.3,79.9
43,2021-08-01,73324,465.1,30.4,89.8
44,2021-09-01,77927,666.27,20.1,90.5
45,2021-10-01,76914,615.81,45.9,91.7
46,2021-11-01,74900,156.51,27.2,85.0
47,2021-12-01,75628,788.3,53.5,76.3
48,2022-01-01,79520,311.06,49.1,95.7
49,2022-02-01,78420,333.29,38.5,92.0
50,2022-03-01,78377,692.5,43.2,79.7
51,2022-04-01,76561,301.56,30.2,98.6
52,2022-05-01,73905,1062.85,43.1,77.9
53,2022-06-01,70340,386.32,21.9,78.9
54,2022-07-01,74126,115.59,31.0,97.5
55,2022-08-01,74622,1029.34,36.9,93.6
56,2022-09-01,81501,944.71,23.6,94.0
57,2022-10-01,81452,182.15,41.8,87.6
58,2022-11-01,79769,625.4,45.4,78.8
59,2022-12-01,78141,509.38,25.7,96.2
60,2023-01-01,82957,437.76,23.2,97.8
61,2023-02-01,83051,580.11,35.3,93.1
62,2023-03-01,83523,223.57,25.6,80.8
63,2023-04-01,79814,1019.42,21.0,76.0
64,2023-05-01,81277,487.56,45.8,77.7
65,2023-06-01,74645,826.74,11.1,87.4
66,2023-07-01,77270,619.17,32.9,86.7
67,2023-08-01,79357,755.01,24.4,77.0
68,2023-09-01,82617,1071.91,44.8,87.8
69,2023-10-01,85632,318.67,38.3,80.1
70,2023-11-01,82141,937.31,19.3,94.9
71,2023-12-01,83389,843.96,29.6,94.6
