,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,109923,0,10.9,97.6
1,2018-02-01,110923,0,27.9,86.6
2,2018-03-01,111845,0,23.6,80.5
3,2018-04-01,111080,0,21.1,81.5
4,2018-05-01,107349,0,45.3,90.7
5,2018-06-01,102527,0,43.3,81.5
6,2018-07-01,102732,0,13.3,92.3
7,2018-08-01,113191,0,28.7,75.4
8,2018-09-01,119901,0,37.2,78.6
9,2018-10-01,119805,0,45.7,79.7
10,2018-11-01,113761,0,24.0,82.8
11,2018-12-01,113664,0,11.1,81.6
12,2019-01-01,117683,0,21.9,90.7
13,2019-02-01,120177,0,23.1,77.2
14,2019-03-01,124334,0,35.2,86.6
15,2019-04-01,118553,0,34.0,80.9
16,2019-05-01,112891,0,32.4,84.4
17,2019-06-01,110107,0,34.6,77.6
18,2019-07-01,109618,0,53.9,84.5
19,2019-08-01,115971,0,26.6,88.5
20,2019-09-01,125387,0,25.0,94.4
21,2019-10-01,128449,0,14.3,79.1
22,2019-11-01,122088,0,32.0,81.0
23,2019-12-01,117426,0,37.7,86.4
24,2020-01-01,128265,0,35.5,80.6
25,2020-02-01,129174,0,21.3,82.5
26,2020-03-01,126454,0,16.8,82.7
27,2020-04-01,122630,0,28.3,75.1
28,2020-05-01,124089,0,44.0,94.1
29,2020-06-01,117382,0,24.1,90.6
30,2020-07-01,116314,0,41.9,87.3
31,2020-08-01,126969,0,54.7,77.0
32,2020-09-01,127966,0,41.5,84.0
33,2020-10-01,133663,0,17.3,93.0
34,2020-11-01,123380,0,29.7,98.3
35,2020-12-01,122941,0,29.1,79.1
36,2021-01-01,135747,0,31.9,93.0
37,2021-02-01,134263,0,28.0,82.1
38,2021-03-01,133927,0,23.2,97.1
39,2021-04-01,129944,0,33.5,89.8
40,2021-05-01,128122,0,39.3,78.4
41,2021-06-01,123341,0,19.2,89.7
42,2021-07-01,125270,0,33.4,81.0
43,2021-08-01,130433,0,52.1,97.2
44,2021-09-01,139643,0,48.4,78.2
45,2021-10-01,138587,0,47.3,75.2
46,2021-11-01,131666,0,16.8,76.6
47,2021-12-01,136669,0,24.0,79.5
48,2022-01-01,141703,0,34.2,82.9
49,2022-02-01,136932,0,31.1,78.8
50,2022-03-01,139931,0,35.2,80.4
51,2022-04-01,136053,0,51.8,81.6
52,2022-05-01,138154,0,49.1,89.0
53,2022-06-01,127770,0,38.1,84.7
54,2022-07-01,127876,0,34.3,90.8
55,2022-08-01,133676,0,16.9,92.5
56,2022-09-01,142664,0,21.8,77.5
57,2022-10-01,147721,0,36.4,93.4
58,2022-11-01,137346,0,44.7,89.2
59,2022-12-01,137434,0,46.3,95.9
60,2023-01-01,148308,0,31.3,79.0
61,2023-02-01,149892,0,54.5,77.2
62,2023-03-01,150641,0,16.6,79.0
63,2023-04-01,144618,0,24.6,96.5
64,2023-05-01,138160,0,33.0,85.6
65,2023-06-01,136724,0,24.7,87.0
66,2023-07-01,132773,0,35.2,84.1
67,2023-08-01,142596,0,31.4,82.5
68,2023-09-01,151523,0,33.9,96.2
69,2023-10-01,155004,0,53.0,97.7
70,2023-11-01,148095,0,42.0,95.2
71,2023-12-01,146254,0,32.1,93.9
