,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,61791,2677.81,44.7,90.3
1,2018-02-01,62043,19906.45,34.8,85.3
2,2018-03-01,61393,4352.32,49.7,96.7
3,2018-04-01,60704,22086.97,36.2,78.6
4,2018-05-01,59475,9794.37,50.5,94.1
5,2018-06-01,59332,23589.38,19.5,81.0
6,2018-07-01,56967,20814.61,49.8,84.8
7,2018-08-01,62172,6204.59,51.8,95.8
8,2018-09-01,66984,21530.57,49.7,75.6
9,2018-10-01,66364,10353.19,51.9,94.3
10,2018-11-01,63984,21530.05,22.0,93.9
11,2018-12-01,61433,22964.46,48.6,80.3
12,2019-01-01,67631,13345.38,23.7,94.1
13,2019-02-01,65592,3147.68,18.7,82.9
14,2019-03-01,68458,25176.7,22.6,90.4
15,2019-04-01,63714,25509.75,34.1,97.5
16,2019-05-01,62910,25258.71,18.0,98.1
17,2019-06-01,60594,5126.74,29.6,92.5
18,2019-07-01,61050,16753.01,33.0,84.2
19,2019-08-01,65587,8544.04,41.9,75.0
20,2019-09-01,70621,15170.55,42.4,92.8
21,2019-10-01,69882,11101.39,13.1,90.9
22,2019-11-01,65503,9926.5,48.2,92.3
23,2019-12-01,65677,9818.34,28.4,84.7
24,2020-01-01,69249,5567.81,28.9,97.6
25,2020-02-01,71170,23680.02,37.7,82.2
26,2020-03-01,70936,2604.48,22.9,85.3
27,2020-04-01,67985,17885.65,30.9,85.6
28,2020-05-01,66790,13646.26,50.6,94.1
29,2020-06-01,63556,4575.4,33.2,90.2
30,2020-07-01,64479,21709.28,43.8,91.1
31,2020-08-01,67710,7245.68,11.1,80.9
32,2020-09-01,72494,22440.62,13.3,84.9
33,2020-10-01,73481,7136.03,41.3,86.9
34,2020-11-01,68667,17917.23,10.2,93.0
35,2020-12-01,71170,5084.35,29.1,79.2
36,2021-01-01,75877,14691.9,12.3,81.0
37,2021-02-01,75710,13255.67,46.1,91.0
38,2021-03-01,76651,16501.79,52.8,96.4
39,2021-04-01,71703,19393.64,32.7,94.9
40,2021-05-01,71724,23549.3,43.5,86.4
41,2021-06-01,67239,8369.28,38.7,93.4
42,2021-07-01,68594,17232.71,22.4,76.9
43,2021-08-01,71478,8940.91,24.4,88.0
44,2021-09-01,74685,7996.11,41.2,92.0
45,2021-10-01,74648,12114.48,34.4,85.0
46,2021-11-01,72010,12407.45,50.7,89.0
47,2021-12-01,74459,22603.98,44.5,84.1
48,2022-01-01,75287,10810.33,43.9,95.5
49,2022-02-01,80018,12381.24,43.6,88.1
50,2022-03-01,78695,7745.68,19.9,85.5
51,2022-04-01,72670,10445.31,40.6,84.7
52,2022-05-01,73571,13510.9,15.7,89.9
53,2022-06-01,69575,11797.34,35.4,75.7
54,2022-07-01,72505,5764.26,30.8,76.2
55,2022-08-01,75419,7538.33,24.7,93.3
56,2022-09-01,79499,20158.19,47.4,81.1
57,2022-10-01,78375,3047.7,34.3,99.0
58,2022-11-01,76168,17779.12,45.2,90.6
59,2022-12-01,78334,24773.18,19.0,75.5
60,2023-01-01,79630,5542.89,40.1,88.5
61,2023-02-01,80257,18931.0,44.5,79.0
62,2023-03-01,82477,20062.8,15.2,94.7
63,2023-04-01,80529,5119.65,11.2,82.5
64,2023-05-01,79478,24973.13,27.8,92.2
65,2023-06-01,73083,18724.3,38.2,77.4
66,2023-07-01,76503,22453.6,37.0,77.9
67,2023-08-01,81840,20873.45,25.6,85.3
68,2023-09-01,83168,14411.71,25.4,95.4
69,2023-10-01,85758,5059.86,53.2,90.3
70,2023-11-01,82008,19114.19,29.6,92.6
71,2023-12-01,82973,8902.77,46.4,87.9
