,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,36226,1061.75,43.0,98.0
1,2018-02-01,36945,406.32,12.2,90.4
2,2018-03-01,36582,209.97,13.2,97.8
3,2018-04-01,35136,642.56,18.0,98.2
4,2018-05-01,36341,252.38,48.4,78.9
5,2018-06-01,34517,499.02,43.9,90.7
6,2018-07-01,33336,758.46,29.5,94.4
7,2018-08-01,35670,1003.05,15.9,91.0
8,2018-09-01,38826,785.94,32.0,96.2
9,2018-10-01,38196,849.45,29.0,93.2
10,2018-11-01,37285,913.47,29.5,85.2
11,2018-12-01,35761,570.6,30.9,80.4
12,2019-01-01,39230,335.39,32.3,90.1
13,2019-02-01,39036,506.29,29.7,96.8
14,2019-03-01,39108,327.24,15.8,96.7
15,2019-04-01,38237,799.1,23.3,76.1
16,2019-05-01,36686,196.82,14.8,85.2
17,2019-06-01,35051,972.68,35.6,81.1
18,2019-07-01,35559,243.03,32.7,77.7
19,2019-08-01,38533,366.24,18.2,84.4
20,2019-09-01,39247,1244.71,23.4,89.1
21,2019-10-01,40326,984.53,38.1,81.4
22,2019-11-01,39767,1237.89,18.4,79.4
23,2019-12-01,39433,901.11,49.2,77.6
24,2020-01-01,41066,147.37,15.3,79.1
25,2020-02-01,41107,1011.68,49.1,98.2
26,2020-03-01,41599,753.27,37.8,98.4
27,2020-04-01,39220,988.99,41.1,84.5
28,2020-05-01,39254,297.61,10.6,77.7
29,2020-06-01,36802,1362.86,48.7,80.0
30,2020-07-01,38407,958.67,29.6,90.0
31,2020-08-01,40945,380.55,23.5,86.1
32,2020-09-01,42373,167.49,17.5,78.7
33,2020-10-01,43139,1354.47,31.2,95.6
34,2020-11-01,40973,393.69,35.6,95.0
35,2020-12-01,39835,149.92,38.4,92.1
36,2021-01-01,44409,1209.26,43.2,89.3
37,2021-02-01,43491,506.38,31.9,86.7
38,2021-03-01,43770,910.48,40.5,94.6
39,2021-04-01,41602,1040.01,33.8,85.1
40,2021-05-01,41344,220.02,50.2,85.0
41,2021-06-01,39816,763.43,52.3,83.3
42,2021-07-01,40520,166.22,23.0,79.6
43,2021-08-01,41930,432.45,19.9,96.8
44,2021-09-01,44194,898.65,47.9,90.8
45,2021-10-01,43815,509.68,42.0,98.0
46,2021-11-01,43703,988.12,43.1,94.1
47,2021-12-01,43794,1204.11,38.0,81.8
48,2022-01-01,46032,980.49,15.8,79.8
49,2022-02-01,45824,267.14,28.7,98.9
50,2022-03-01,45179,403.89,12.1,75.4
51,2022-04-01,44713,589.88,17.1,94.9
52,2022-05-01,44926,180.28,12.9,85.3
53,2022-06-01,42153,292.07,20.1,81.2
54,2022-07-01,41620,587.6,12.1,96.1
55,2022-08-01,43788,330.48,41.1,87.4
56,2022-09-01,47286,1030.07,51.7,85.5
57,2022-10-01,46872,1200.41,15.0,77.5
58,2022-11-01,45226,1125.52,52.6,94.8
59,2022-12-01,43862,272.82,38.3,95.9
60,2023-01-01,48711,337.86,23.1,85.6
61,2023-02-01,47738,1063.02,14.5,90.5
62,2023-03-01,47428,313.59,48.2,85.5
63,2023-04-01,45564,1108.98,21.0,94.4
64,2023-05-01,45531,776.33,13.8,83.9
65,2023-06-01,44506,594.41,39.9,78.6
66,2023-07-01,44669,671.37,20.3,94.2
67,2023-08-01,46248,655.73,30.6,95.5
68,2023-09-01,49862,595.84,11.3,78.5
69,2023-10-01,47732,1155.87,52.5,77.0
70,2023-11-01,46488,1377.25,17.4,76.5
71,2023-12-01,47917,971.82,38.9,96.7
