,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,510264,0,44.9,87.6
1,2018-02-01,488864,0,24.6,97.9
2,2018-03-01,497876,0,37.8,84.7
3,2018-04-01,467756,0,48.3,78.8
4,2018-05-01,471546,0,14.8,97.4
5,2018-06-01,460668,0,44.2,98.6
6,2018-07-01,472143,0,43.0,80.7
7,2018-08-01,502077,0,17.8,96.4
8,2018-09-01,525247,0,28.9,76.5
9,2018-10-01,523272,0,15.2,95.3
10,2018-11-01,484641,0,44.4,89.6
11,2018-12-01,509960,0,51.6,82.7
12,2019-01-01,533494,0,27.0,98.7
13,2019-02-01,532027,0,19.0,81.1
14,2019-03-01,530163,0,22.9,79.8
15,2019-04-01,498851,0,46.6,94.4
16,2019-05-01,502087,0,36.2,90.1
17,2019-06-01,493135,0,19.2,94.4
18,2019-07-01,502007,0,26.2,84.8
19,2019-08-01,520053,0,13.2,79.4
20,2019-09-01,554557,0,51.0,90.4
21,2019-10-01,549358,0,47.5,88.7
22,2019-11-01,524847,0,25.8,89.8
23,2019-12-01,529892,0,16.2,76.6
24,2020-01-01,554487,0,26.9,76.7
25,2020-02-01,545226,0,45.2,82.2
26,2020-03-01,548979,0,20.4,89.4
27,2020-04-01,532009,0,20.1,97.6
28,2020-05-01,553496,0,21.3,91.9
29,2020-06-01,501715,0,49.2,98.2
30,2020-07-01,504109,0,35.9,95.5
31,2020-08-01,561060,0,32.5,84.6
32,2020-09-01,561369,0,41.4,77.7
33,2020-10-01,578177,0,51.3,81.3
34,2020-11-01,538340,0,25.2,81.3
35,2020-12-01,550797,0,44.4,78.3
36,2021-01-01,588268,0,43.0,97.2
37,2021-02-01,594859,0,49.5,80.7
38,2021-03-01,576402,0,52.7,96.7
39,2021-04-01,572643,0,44.5,75.8
40,2021-05-01,584504,0,52.7,89.4
41,2021-06-01,545596,0,13.6,88.2
42,2021-07-01,558762,0,22.2,76.0
43,2021-08-01,559151,0,32.8,90.6
44,2021-09-01,603921,0,23.7,95.4
45,2021-10-01,626112,0,11.0,76.3
46,2021-11-01,591809,0,46.5,87.8
47,2021-12-01,597245,0,40.7,92.7
48,2022-01-01,618254,0,12.3,93.4
49,2022-02-01,626044,0,29.3,85.2
50,2022-03-01,607761,0,29.7,96.5
51,2022-04-01,611235,0,26.5,79.6
52,2022-05-01,594122,0,12.6,80.6
53,2022-06-01,571838,0,20.2,92.9
54,2022-07-01,584359,0,45.7,88.6
55,2022-08-01,621242,0,10.7,92.3
56,2022-09-01,648046,0,13.4,78.0
57,2022-10-01,626351,0,12.0,83.4
58,2022-11-01,616223,0,21.0,82.0
59,2022-12-01,616797,0,31.5,77.9
60,2023-01-01,629611,0,21.3,88.0
61,2023-02-01,648293,0,43.1,83.6
62,2023-03-01,667178,0,19.9,92.1
63,2023-04-01,638807,0,45.1,82.0
64,2023-05-01,630440,0,33.7,81.4
65,2023-06-01,602755,0,32.7,76.3
66,2023-07-01,612292,0,41.7,89.9
67,2023-08-01,623406,0,19.2,78.3
68,2023-09-01,684829,0,20.4,92.8
69,2023-10-01,656694,0,26.8,94.6
70,2023-11-01,625102,0,54.0,91.8
71,2023-12-01,646949,0,30.4,77.7
