,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,10415,166.87,30.7,83.0
1,2018-02-01,10059,104.19,45.7,88.4
2,2018-03-01,10412,213.42,21.6,84.3
3,2018-04-01,9998,342.81,10.8,91.2
4,2018-05-01,9989,474.1,37.8,93.1
5,2018-06-01,9565,511.56,13.3,97.3
6,2018-07-01,9337,565.74,23.6,77.1
7,2018-08-01,10276,345.74,27.8,90.9
8,2018-09-01,10655,406.08,16.1,84.4
9,2018-10-01,10914,413.81,53.2,78.5
10,2018-11-01,10370,645.93,45.8,92.5
11,2018-12-01,10231,668.16,34.9,88.3
12,2019-01-01,10630,73.17,36.8,87.9
13,2019-02-01,11220,261.96,43.7,96.7
14,2019-03-01,10875,329.97,39.1,87.3
15,2019-04-01,10290,209.1,47.6,79.7
16,2019-05-01,10350,573.79,48.4,95.4
17,2019-06-01,10332,696.42,30.8,88.2
18,2019-07-01,9990,112.44,14.4,92.4
19,2019-08-01,10690,278.44,15.8,90.7
20,2019-09-01,11013,460.29,50.5,82.6
21,2019-10-01,11302,458.3,23.8,89.0
22,2019-11-01,10887,299.63,24.2,85.3
23,2019-12-01,10569,225.09,20.0,92.8
24,2020-01-01,11444,599.27,16.0,92.6
25,2020-02-01,11801,361.59,26.1,82.3
26,2020-03-01,11626,180.74,37.3,95.2
27,2020-04-01,11326,158.2,34.2,81.3
28,2020-05-01,11394,118.17,13.4,75.4
29,2020-06-01,10630,89.65,36.2,84.7
30,2020-07-01,10729,640.97,34.8,88.0
31,2020-08-01,11619,367.43,44.9,83.8
32,2020-09-01,11699,556.45,43.0,82.0
33,2020-10-01,11923,391.56,27.9,87.1
34,2020-11-01,11539,604.23,46.3,89.7
35,2020-12-01,11246,393.91,30.1,79.3
36,2021-01-01,12427,485.43,53.5,92.7
37,2021-02-01,12140,296.04,19.8,86.7
38,2021-03-01,11883,302.74,11.9,80.0
39,2021-04-01,11956,297.59,31.1,85.9
40,2021-05-01,11400,687.77,24.6,91.9
41,2021-06-01,11194,592.68,47.6,81.3
42,2021-07-01,11256,179.53,39.4,83.8
43,2021-08-01,11974,596.35,33.2,84.0
44,2021-09-01,12815,395.31,25.9,95.8
45,2021-10-01,12551,373.73,37.2,87.0
46,2021-11-01,11751,174.33,13.5,90.4
47,2021-12-01,11851,187.75,26.3,92.2
48,2022-01-01,12423,215.12,46.5,92.3
49,2022-02-01,12751,371.65,19.5,78.9
50,2022-03-01,13072,84.14,11.9,88.8
51,2022-04-01,12005,466.61,11.8,88.7
52,2022-05-01,11975,232.7,18.1,98.0
53,2022-06-01,11804,425.07,10.8,92.3
54,2022-07-01,11894,248.58,13.9,85.8
55,2022-08-01,12817,616.4,17.7,94.9
56,2022-09-01,13202,570.61,46.9,79.4
57,2022-10-01,13300,236.65,42.6,83.2
58,2022-11-01,12560,442.08,20.3,84.3
59,2022-12-01,12346,197.48,48.7,87.1
60,2023-01-01,13262,164.22,14.3,86.4
61,2023-02-01,13470,94.59,45.3,87.1
62,2023-03-01,13120,373.81,15.9,89.5
63,2023-04-01,13090,635.09,44.9,90.6
64,2023-05-01,12903,303.34,12.0,87.7
65,2023-06-01,12089,575.45,45.5,84.1
66,2023-07-01,12400,537.08,44.3,91.7
67,2023-08-01,12718,154.35,31.5,80.6
68,2023-09-01,14031,248.46,49.5,84.8
69,2023-10-01,13529,516.76,45.5,88.9
70,2023-11-01,12876,74.53,39.5,91.5
71,2023-12-01,13081,298.23,17.0,90.6
