,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,9539,589.23,46.0,96.0
1,2018-02-01,9583,286.42,49.9,91.8
2,2018-03-01,9575,449.64,24.1,83.3
3,2018-04-01,9139,546.11,37.5,78.5
4,2018-05-01,8955,407.69,49.9,90.0
5,2018-06-01,8660,298.76,25.5,94.5
6,2018-07-01,8717,478.72,49.6,77.0
7,2018-08-01,9160,270.6,42.3,96.1
8,2018-09-01,9654,352.03,19.6,87.3
9,2018-10-01,9579,243.98,38.6,75.6
10,2018-11-01,9488,351.56,21.6,95.0
11,2018-12-01,9205,288.28,32.7,92.6
12,2019-01-01,10028,200.27,32.8,78.0
13,2019-02-01,10025,568.33,30.2,88.7
14,2019-03-01,9624,243.05,20.6,92.9
15,2019-04-01,9537,445.91,52.2,91.0
16,2019-05-01,9732,186.27,23.5,91.0
17,2019-06-01,9272,369.29,16.3,84.1
18,2019-07-01,9271,116.82,33.2,79.6
19,2019-08-01,9828,305.33,16.6,85.2
20,2019-09-01,10142,109.81,29.1,78.1
21,2019-10-01,10067,102.16,40.5,84.7
22,2019-11-01,9833,480.57,49.2,89.0
23,2019-12-01,9923,598.12,41.0,97.7
24,2020-01-01,10525,285.14,17.3,87.1
25,2020-02-01,10417,307.16,53.6,87.3
26,2020-03-01,10491,435.01,30.5,75.8
27,2020-04-01,9812,361.87,51.5,77.9
28,2020-05-01,10274,119.58,26.6,82.0
29,2020-06-01,9614,123.58,23.7,84.0
30,2020-07-01,9523,75.11,16.4,93.8
31,2020-08-01,10146,565.88,23.7,81.8
32,2020-09-01,10545,459.42,10.1,88.1
33,2020-10-01,10515,84.13,31.7,82.4
34,2020-11-01,10296,242.42,27.0,95.0
35,2020-12-01,10577,131.72,16.2,90.3
36,2021-01-01,11106,420.3,16.7,92.5
37,2021-02-01,10710,397.38,38.1,84.3
38,2021-03-01,11291,243.06,12.1,91.1
39,2021-04-01,10509,209.78,14.0,79.0
40,2021-05-01,10287,400.26,44.7,82.4
41,2021-06-01,10189,407.71,13.8,97.9
42,2021-07-01,10169,469.11,53.1,87.5
43,2021-08-01,10882,331.42,10.8,90.8
44,2021-09-01,11325,579.68,22.4,79.9
45,2021-10-01,11574,513.02,36.1,77.0
46,2021-11-01,10875,233.03,36.5,86.8
47,2021-12-01,11180,243.58,18.1,75.6
48,2022-01-01,11507,266.29,14.1,98.5
49,2022-02-01,11563,214.09,18.2,93.4
50,2022-03-01,11340,574.17,40.5,76.4
51,2022-04-01,11379,157.99,42.1,82.2
52,2022-05-01,10849,136.93,50.2,81.2
53,2022-06-01,10883,545.73,12.3,80.8
54,2022-07-01,10706,187.71,32.9,87.1
55,2022-08-01,11551,205.42,24.3,88.3
56,2022-09-01,11548,75.61,38.5,96.9
57,2022-10-01,11559,359.2,36.4,77.4
58,2022-11-01,11560,411.84,15.7,88.6
59,2022-12-01,11387,516.99,32.5,93.8
60,2023-01-01,11783,351.84,17.6,80.9
61,2023-02-01,12416,579.13,35.0,76.0
62,2023-03-01,12361,579.0,37.9,90.7
63,2023-04-01,11368,92.49,51.5,81.6
64,2023-05-01,11470,427.2,55.0,95.2
65,2023-06-01,10912,513.97,22.7,78.9
66,2023-07-01,11168,97.77,14.0,91.8
67,2023-08-01,12009,451.54,54.9,96.1
68,2023-09-01,12195,332.6,46.1,96.2
69,2023-10-01,12789,402.99,54.1,92.0
70,2023-11-01,11745,417.63,24.5,80.1
71,2023-12-01,12280,237.37,51.1,78.2
