,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,24719,322.98,48.4,98.1
1,2018-02-01,24586,147.4,48.7,77.0
2,2018-03-01,24880,1100.57,50.5,84.8
3,2018-04-01,23474,864.61,14.1,97.6
4,2018-05-01,24104,283.13,15.0,92.6
5,2018-06-01,23294,712.2,47.3,97.8
6,2018-07-01,23406,408.28,49.8,80.7
7,2018-08-01,23585,1032.52,24.8,89.0
8,2018-09-01,25292,966.92,20.6,85.1
9,2018-10-01,25036,322.05,53.6,85.5
10,2018-11-01,24119,788.17,32.1,84.0
11,2018-12-01,25258,481.05,29.1,91.4
12,2019-01-01,26669,1114.36,52.2,83.7
13,2019-02-01,26407,1049.04,10.9,98.2
14,2019-03-01,26357,1071.66,39.8,97.6
15,2019-04-01,25347,1012.4,20.8,88.3
16,2019-05-01,24888,1203.29,26.3,94.5
17,2019-06-01,23482,1100.32,48.6,84.3
18,2019-07-01,24731,567.1,54.0,81.1
19,2019-08-01,24896,1050.55,20.6,80.0
20,2019-09-01,27552,1155.38,38.4,96.1
21,2019-10-01,27477,582.07,11.5,95.8
22,2019-11-01,26374,1183.06,31.2,84.9
23,2019-12-01,26520,932.06,49.5,94.7
24,2020-01-01,27943,910.79,32.8,83.4
25,2020-02-01,27700,1040.11,43.2,85.9
26,2020-03-01,26869,183.61,38.9,90.1
27,2020-04-01,26914,278.1,28.0,90.1
28,2020-05-01,26271,217.51,17.1,87.4
29,2020-06-01,26064,1059.45,44.3,95.3
30,2020-07-01,25744,1016.72,24.4,86.5
31,2020-08-01,27296,418.26,40.9,94.8
32,2020-09-01,28894,348.5,28.7,79.4
33,2020-10-01,29149,1187.85,49.8,80.4
34,2020-11-01,27997,1163.5,39.1,90.0
35,2020-12-01,28049,1220.89,18.9,91.8
36,2021-01-01,28297,576.16,29.3,81.2
37,2021-02-01,28278,538.91,52.6,77.8
38,2021-03-01,29497,614.55,51.4,85.9
39,2021-04-01,28134,258.33,42.1,79.6
40,2021-05-01,28568,1004.89,23.0,86.9
41,2021-06-01,26081,1088.38,37.0,98.9
42,2021-07-01,26434,886.84,28.8,84.8
43,2021-08-01,27707,451.47,21.8,89.8
44,2021-09-01,30575,540.84,40.8,86.0
45,2021-10-01,29087,274.86,24.5,91.6
46,2021-11-01,28978,927.5,41.9,92.7
47,2021-12-01,28352,232.19,12.6,83.0
48,2022-01-01,29850,1146.75,54.9,97.5
49,2022-02-01,31308,798.01,43.7,76.1
50,2022-03-01,30125,822.12,23.6,84.5
51,2022-04-01,29010,1214.07,35.2,88.9
52,2022-05-01,28930,691.72,51.9,96.1
53,2022-06-01,27377,481.98,33.9,78.4
54,2022-07-01,27459,174.68,15.8,95.9
55,2022-08-01,30297,966.3,51.7,81.8
56,2022-09-01,32016,814.55,44.3,81.3
57,2022-10-01,31077,1129.26,24.2,98.9
58,2022-11-01,30524,295.17,48.4,90.8
59,2022-12-01,30704,184.87,16.7,80.5
60,2023-01-01,30909,417.75,41.8,85.5
61,2023-02-01,32865,1168.11,11.8,83.6
62,2023-03-01,32440,670.85,32.2,95.3
63,2023-04-01,31303,264.11,14.2,95.8
64,2023-05-01,30156,314.33,32.9,81.5
65,2023-06-01,30005,783.89,36.3,98.3
66,2023-07-01,29474,767.14,28.7,76.8
67,2023-08-01,31593,886.52,49.9,75.6
68,2023-09-01,33126,890.72,27.7,89.2
69,2023-10-01,33782,1066.6,16.9,76.9
70,2023-11-01,32065,866.98,30.4,97.9
71,2023-12-01,31735,131.53,53.6,90.7
