,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,11314,378.34,26.3,87.6
1,2018-02-01,11559,608.97,33.0,97.8
2,2018-03-01,11612,331.91,44.6,96.9
3,2018-04-01,11239,520.18,16.8,95.9
4,2018-05-01,11033,555.63,28.9,82.4
5,2018-06-01,10913,376.22,38.2,77.8
6,2018-07-01,10553,211.92,38.0,81.1
7,2018-08-01,11386,652.4,34.5,75.1
8,2018-09-01,12319,235.57,36.5,86.4
9,2018-10-01,12035,128.6,37.0,80.9
10,2018-11-01,11612,493.34,35.1,94.8
11,2018-12-01,11319,175.07,39.4,75.9
12,2019-01-01,12534,525.22,47.7,82.2
13,2019-02-01,12642,108.1,28.8,79.3
14,2019-03-01,12517,487.49,41.1,89.3
15,2019-04-01,12058,194.76,30.5,88.9
16,2019-05-01,12217,137.86,23.5,83.8
17,2019-06-01,11283,120.68,29.2,88.2
18,2019-07-01,11275,165.82,41.3,81.6
19,2019-08-01,12093,429.14,41.3,89.7
20,2019-09-01,12436,567.57,38.3,98.7
21,2019-10-01,12779,539.84,52.0,98.7
22,2019-11-01,12081,485.97,24.2,87.6
23,2019-12-01,12658,313.85,15.8,88.5
24,2020-01-01,12980,501.5,32.2,79.3
25,2020-02-01,13108,553.3,54.1,75.0
26,2020-03-01,12707,497.19,15.3,95.4
27,2020-04-01,12737,749.32,28.6,83.0
28,2020-05-01,12613,505.31,10.5,79.8
29,2020-06-01,11834,608.38,23.8,87.2
30,2020-07-01,11916,79.14,40.9,83.2
31,2020-08-01,12903,490.8,11.3,79.2
32,2020-09-01,13289,303.11,40.3,97.0
33,2020-10-01,13724,510.82,31.7,90.1
34,2020-11-01,13200,437.45,25.1,93.8
35,2020-12-01,12884,576.24,47.6,82.2
36,2021-01-01,13841,287.96,34.1,80.0
37,2021-02-01,13867,614.69,50.0,83.5
38,2021-03-01,14160,264.31,11.4,98.6
39,2021-04-01,13271,643.62,35.7,84.3
40,2021-05-01,13301,658.6,43.8,91.9
41,2021-06-01,12476,96.35,28.6,86.9
42,2021-07-01,12469,380.04,52.8,80.2
43,2021-08-01,13231,150.76,45.3,93.7
44,2021-09-01,14468,374.55,11.1,86.6
45,2021-10-01,14175,203.39,51.6,92.6
46,2021-11-01,13574,598.48,16.4,95.9
47,2021-12-01,13873,708.17,40.5,78.2
48,2022-01-01,14541,385.07,42.1,87.5
49,2022-02-01,13977,704.33,40.9,89.3
50,2022-03-01,14105,390.14,12.1,87.5
51,2022-04-01,13961,285.92,36.0,82.5
52,2022-05-01,14211,291.59,18.7,81.6
53,2022-06-01,13098,372.75,15.3,78.6
54,2022-07-01,13114,85.3,38.0,87.3
55,2022-08-01,13801,311.46,24.3,78.4
56,2022-09-01,14990,266.21,21.0,76.7
57,2022-10-01,14968,303.65,30.0,78.1
58,2022-11-01,14188,530.96,14.8,76.3
59,2022-12-01,14205,195.81,36.8,89.2
60,2023-01-01,15343,547.07,37.7,82.5
61,2023-02-01,15385,556.21,40.2,87.8
62,2023-03-01,15585,585.13,31.0,78.2
63,2023-04-01,14760,695.79,31.1,85.9
64,2023-05-01,14704,554.4,30.9,80.6
65,2023-06-01,13638,656.24,37.8,96.9
66,2023-07-01,13830,547.24,39.9,93.9
67,2023-08-01,15045,380.97,11.4,86.4
68,2023-09-01,15362,386.34,17.7,93.4
69,2023-10-01,15655,160.99,14.6,94.6
70,2023-11-01,15137,294.96,39.2,94.0
71,2023-12-01,14956,345.55,28.6,89.9
