,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,294725,0,13.1,77.3
1,2018-02-01,298970,0,42.5,81.6
2,2018-03-01,299586,0,28.0,88.4
3,2018-04-01,279260,0,37.6,84.4
4,2018-05-01,287156,0,30.5,95.4
5,2018-06-01,278529,0,15.5,84.0
6,2018-07-01,274178,0,11.3,76.1
7,2018-08-01,279505,0,14.7,82.7
8,2018-09-01,307236,0,29.6,79.1
9,2018-10-01,299613,0,50.6,83.9
10,2018-11-01,299179,0,54.5,97.4
11,2018-12-01,299983,0,21.7,93.8
12,2019-01-01,302400,0,52.6,76.8
13,2019-02-01,307899,0,37.6,94.5
14,2019-03-01,308223,0,17.7,78.3
15,2019-04-01,298334,0,15.7,95.7
16,2019-05-01,304985,0,50.0,98.2
17,2019-06-01,285226,0,30.1,77.9
18,2019-07-01,288510,0,36.0,90.9
19,2019-08-01,313283,0,24.5,92.5
20,2019-09-01,315975,0,21.9,82.1
21,2019-10-01,314635,0,35.1,95.9
22,2019-11-01,311685,0,43.1,79.9
23,2019-12-01,302263,0,53.7,76.4
24,2020-01-01,317520,0,19.7,94.6
25,2020-02-01,322377,0,14.7,80.0
26,2020-03-01,331774,0,33.7,95.6
27,2020-04-01,320586,0,24.0,85.9
28,2020-05-01,310456,0,32.7,96.9
29,2020-06-01,297397,0,26.4,98.4
30,2020-07-01,310522,0,33.1,93.7
31,2020-08-01,315177,0,22.5,78.9
32,2020-09-01,334785,0,49.1,90.6
33,2020-10-01,332959,0,49.4,92.9
34,2020-11-01,320280,0,50.2,79.5
35,2020-12-01,317487,0,39.8,85.9
36,2021-01-01,339673,0,51.7,77.0
37,2021-02-01,344550,0,16.8,87.1
38,2021-03-01,347591,0,12.4,81.5
39,2021-04-01,324248,0,39.2,92.6
40,2021-05-01,332101,0,23.2,84.7
41,2021-06-01,320079,0,33.8,86.8
42,2021-07-01,318325,0,40.7,90.5
43,2021-08-01,347107,0,19.9,76.3
44,2021-09-01,346226,0,22.0,76.6
45,2021-10-01,349041,0,20.2,89.9
46,2021-11-01,346386,0,27.6,77.4
47,2021-12-01,348161,0,49.6,81.4
48,2022-01-01,355571,0,45.4,83.3
49,2022-02-01,358793,0,36.8,92.6
50,2022-03-01,355987,0,32.6,91.8
51,2022-04-01,348393,0,23.7,96.8
52,2022-05-01,344771,0,24.2,76.7
53,2022-06-01,327799,0,50.5,78.4
54,2022-07-01,325576,0,31.4,83.0
55,2022-08-01,347560,0,21.9,76.8
56,2022-09-01,377609,0,48.4,89.3
57,2022-10-01,385612,0,36.2,86.7
58,2022-11-01,353139,0,14.9,94.7
59,2022-12-01,361408,0,54.6,95.0
60,2023-01-01,379982,0,17.5,78.5
61,2023-02-01,371580,0,23.7,92.7
62,2023-03-01,381227,0,43.1,98.8
63,2023-04-01,360172,0,31.9,83.7
64,2023-05-01,356170,0,25.9,92.0
65,2023-06-01,358064,0,44.9,95.6
66,2023-07-01,359638,0,36.8,77.7
67,2023-08-01,375167,0,42.8,75.5
68,2023-09-01,402266,0,48.5,90.8
69,2023-10-01,384050,0,32.4,80.9
70,2023-11-01,380610,0,53.8,83.6
71,2023-12-01,382090,0,18.7,97.9
