,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,38655,469.22,22.3,85.7
1,2018-02-01,38835,582.29,18.0,89.3
2,2018-03-01,38257,537.81,35.4,87.6
3,2018-04-01,36633,302.96,25.6,88.0
4,2018-05-01,37174,398.14,26.5,81.2
5,2018-06-01,34440,80.07,46.7,95.4
6,2018-07-01,34692,417.82,10.4,97.1
7,2018-08-01,38035,423.49,10.4,85.3
8,2018-09-01,38595,246.48,10.3,84.0
9,2018-10-01,39059,483.6,27.8,78.9
10,2018-11-01,38110,360.6,27.0,81.3
11,2018-12-01,37577,252.48,44.4,96.8
12,2019-01-01,40563,572.94,22.8,92.8
13,2019-02-01,40757,377.29,48.4,79.4
14,2019-03-01,39695,538.56,37.8,81.5
15,2019-04-01,38749,215.21,10.9,76.2
16,2019-05-01,38725,213.88,14.6,81.5
17,2019-06-01,37357,603.52,20.5,78.6
18,2019-07-01,37036,326.18,24.0,94.2
19,2019-08-01,40349,413.85,45.6,82.9
20,2019-09-01,42176,765.18,12.5,93.6
21,2019-10-01,40444,418.51,18.6,95.2
22,2019-11-01,40468,676.34,15.5,93.4
23,2019-12-01,39290,635.28,29.9,92.7
24,2020-01-01,40894,411.8,44.7,87.5
25,2020-02-01,43482,420.43,40.7,82.5
26,2020-03-01,41995,533.0,11.9,97.5
27,2020-04-01,40654,262.39,38.7,79.8
28,2020-05-01,41729,701.83,19.8,77.7
29,2020-06-01,39221,313.65,17.5,81.6
30,2020-07-01,38188,648.18,10.4,76.0
31,2020-08-01,42018,422.19,36.8,83.9
32,2020-09-01,42495,193.54,14.1,89.8
33,2020-10-01,44886,797.82,38.1,76.4
34,2020-11-01,42213,584.96,45.6,78.0
35,2020-12-01,41353,786.81,45.5,93.2
36,2021-01-01,45128,395.88,18.7,91.5
37,2021-02-01,44124,177.01,50.4,86.6
38,2021-03-01,44522,292.19,41.4,79.6
39,2021-04-01,41936,330.32,43.0,81.6
40,2021-05-01,43771,738.42,35.0,76.7
41,2021-06-01,40094,292.88,21.9,83.8
42,2021-07-01,39879,539.38,27.1,79.5
43,2021-08-01,42197,696.92,44.9,80.7
44,2021-09-01,46419,553.97,34.3,84.3
45,2021-10-01,46065,438.24,34.8,89.7
46,2021-11-01,43518,541.45,15.0,87.6
47,2021-12-01,43016,681.34,15.8,96.0
48,2022-01-01,45728,429.47,14.4,88.7
49,2022-02-01,47690,553.7,33.7,91.8
50,2022-03-01,46247,343.77,37.3,76.7
51,2022-04-01,46035,230.29,32.1,96.4
52,2022-05-01,43919,656.73,12.7,88.4
53,2022-06-01,44101,379.49,26.6,92.0
54,2022-07-01,43978,271.39,11.8,76.7
55,2022-08-01,45053,760.11,53.2,77.3
56,2022-09-01,48705,462.8,18.5,87.6
57,2022-10-01,47515,530.23,18.1,93.0
58,2022-11-01,45889,155.97,38.7,83.6
59,2022-12-01,46187,558.97,49.7,79.0
60,2023-01-01,47868,369.12,25.2,78.8
61,2023-02-01,50456,398.97,25.9,82.6
62,2023-03-01,50628,313.75,26.7,93.3
63,2023-04-01,46818,602.62,37.4,88.5
64,2023-05-01,46382,631.31,51.7,81.1
65,2023-06-01,46248,402.2,27.9,92.4
66,2023-07-01,46480,508.95,33.3,98.8
67,2023-08-01,47159,296.24,20.0,95.5
68,2023-09-01,48856,671.8,41.0,81.6
69,2023-10-01,50649,480.55,51.7,78.7
70,2023-11-01,46922,336.07,16.2,83.8
71,2023-12-01,48677,247.76,46.5,77.2
