,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,11959,326.8,42.9,83.4
1,2018-02-01,12232,1258.55,21.2,90.5
2,2018-03-01,12159,993.39,42.5,81.8
3,2018-04-01,12128,192.42,48.1,96.0
4,2018-05-01,11663,1001.66,18.5,84.4
5,2018-06-01,11434,1248.4,45.7,80.7
6,2018-07-01,11311,491.31,38.7,76.7
7,2018-08-01,12328,171.83,26.2,82.6
8,2018-09-01,12624,1325.37,28.9,88.1
9,2018-10-01,12520,812.07,54.4,76.8
10,2018-11-01,12285,174.24,19.7,97.1
11,2018-12-01,12609,710.18,22.9,92.1
12,2019-01-01,13161,745.89,28.1,90.4
13,2019-02-01,13044,367.99,13.8,76.9
14,2019-03-01,13405,1514.17,17.0,82.8
15,2019-04-01,12575,1219.7,39.2,90.4
16,2019-05-01,12425,765.29,52.9,80.7
17,2019-06-01,11811,1444.86,15.2,89.7
18,2019-07-01,11728,1084.18,39.6,79.2
19,2019-08-01,12369,346.41,10.5,86.9
20,2019-09-01,13316,876.53,47.0,81.2
21,2019-10-01,13397,1200.94,49.3,92.6
22,2019-11-01,12620,1410.36,25.1,85.3
23,2019-12-01,12992,521.81,53.9,90.1
24,2020-01-01,13680,867.54,12.5,95.6
25,2020-02-01,13469,374.45,44.8,96.5
26,2020-03-01,13949,315.89,43.3,75.1
27,2020-04-01,13489,172.14,12.1,83.7
28,2020-05-01,13598,404.65,53.2,75.8
29,2020-06-01,12885,1151.06,39.5,80.4
30,2020-07-01,12518,1432.62,24.4,94.8
31,2020-08-01,13495,321.56,40.3,76.3
32,2020-09-01,13934,874.5,12.1,84.6
33,2020-10-01,14552,1363.11,44.8,82.5
34,2020-11-01,13273,792.16,26.6,82.0
35,2020-12-01,13902,1186.71,20.9,83.8
36,2021-01-01,14821,1546.91,44.9,92.6
37,2021-02-01,14514,1265.38,16.8,97.4
38,2021-03-01,14119,910.46,38.6,91.6
39,2021-04-01,13491,622.35,44.2,84.0
40,2021-05-01,14158,583.98,19.2,98.6
41,2021-06-01,13251,1495.85,53.8,78.4
42,2021-07-01,13194,216.24,20.4,95.3
43,2021-08-01,14058,1404.33,30.6,92.9
44,2021-09-01,14972,860.07,38.7,84.5
45,2021-10-01,15043,241.88,39.8,78.1
46,2021-11-01,14127,1342.02,51.7,84.4
47,2021-12-01,14650,610.12,30.4,80.6
48,2022-01-01,15546,344.88,44.7,77.6
49,2022-02-01,14844,782.15,24.1,77.9
50,2022-03-01,15135,1229.62,30.3,86.1
51,2022-04-01,14904,281.14,46.3,82.3
52,2022-05-01,14833,996.61,19.7,95.6
53,2022-06-01,13681,1147.06,53.6,84.5
54,2022-07-01,13651,571.88,46.9,79.2
55,2022-08-01,15229,1347.17,35.0,88.2
56,2022-09-01,15249,297.16,45.7,77.9
57,2022-10-01,15277,1244.44,20.0,79.8
58,2022-11-01,14911,1112.37,52.2,77.0
59,2022-12-01,15137,1434.81,13.4,98.9
60,2023-01-01,15585,1056.15,46.4,77.2
61,2023-02-01,16265,1283.4,15.5,97.6
62,2023-03-01,15563,1444.16,29.5,92.4
63,2023-04-01,15287,688.91,29.2,83.5
64,2023-05-01,15724,538.6,30.1,78.6
65,2023-06-01,14736,1015.68,39.1,87.0
66,2023-07-01,15028,823.25,13.9,84.2
67,2023-08-01,15447,1051.5,45.9,81.0
68,2023-09-01,16844,913.4,10.9,84.2
69,2023-10-01,16630,824.16,45.2,83.3
70,2023-11-01,15758,603.64,22.2,75.6
71,2023-12-01,15846,195.88,46.5,81.7
