,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,48342,10897.02,21.0,78.3
1,2018-02-01,48556,10885.73,34.5,89.2
2,2018-03-01,48584,2617.43,20.5,89.4
3,2018-04-01,48018,10570.73,41.6,85.1
4,2018-05-01,47931,4975.28,49.1,93.2
5,2018-06-01,44959,6821.01,22.5,80.2
6,2018-07-01,46848,2726.25,27.1,83.6
7,2018-08-01,48324,4800.58,12.0,86.0
8,2018-09-01,50307,13206.93,13.5,82.0
9,2018-10-01,52111,12736.07,26.3,79.6
10,2018-11-01,48206,9870.95,44.8,98.6
11,2018-12-01,50779,12493.66,27.1,85.9
12,2019-01-01,53502,3498.72,26.0,91.1
13,2019-02-01,53335,10155.74,13.2,90.2
14,2019-03-01,53052,4548.68,30.8,81.5
15,2019-04-01,51950,10214.71,19.9,82.8
16,2019-05-01,51711,2134.89,47.0,94.3
17,2019-06-01,48282,2265.89,51.1,88.6
18,2019-07-01,49430,4137.37,32.5,96.2
19,2019-08-01,52037,3245.9,16.3,92.9
20,2019-09-01,54548,10966.84,29.3,89.0
21,2019-10-01,54215,14165.82,16.2,86.8
22,2019-11-01,53101,12424.9,16.9,78.8
23,2019-12-01,53102,9042.11,27.3,89.3
24,2020-01-01,55300,4633.07,34.9,97.6
25,2020-02-01,56254,2883.97,49.8,93.0
26,2020-03-01,56799,5767.44,23.2,78.8
27,2020-04-01,51877,10648.34,42.4,98.3
28,2020-05-01,54550,7908.17,14.8,90.0
29,2020-06-01,52294,7907.93,19.0,84.0
30,2020-07-01,50421,13605.73,51.5,97.0
31,2020-08-01,54732,7664.38,15.0,83.7
32,2020-09-01,59047,11730.58,20.8,80.8
33,2020-10-01,57855,2426.52,42.9,94.6
34,2020-11-01,56693,8227.98,15.7,90.8
35,2020-12-01,56831,3530.32,33.7,89.6
36,2021-01-01,59987,13291.51,44.0,91.6
37,2021-02-01,59356,6519.12,40.2,84.0
38,2021-03-01,60265,7189.99,21.2,76.5
39,2021-04-01,54668,8499.12,36.5,75.2
40,2021-05-01,57225,2172.41,13.0,75.8
41,2021-06-01,53368,7990.92,22.5,86.6
42,2021-07-01,54267,10664.45,49.7,88.8
43,2021-08-01,56341,7464.59,28.3,77.3
44,2021-09-01,60907,5947.92,28.5,95.7
45,2021-10-01,58957,9771.16,39.1,76.5
46,2021-11-01,58720,11651.57,14.9,79.6
47,2021-12-01,58288,3211.53,18.3,86.1
48,2022-01-01,62694,2383.42,46.4,95.5
49,2022-02-01,60077,9754.41,34.3,75.4
50,2022-03-01,60300,11050.57,20.6,84.8
51,2022-04-01,59034,12470.23,50.6,79.0
52,2022-05-01,57562,6409.59,51.7,93.8
53,2022-06-01,55861,10322.44,42.9,93.8
54,2022-07-01,57365,7639.66,18.5,80.2
55,2022-08-01,58447,10822.72,12.7,82.5
56,2022-09-01,61578,7513.36,51.4,87.7
57,2022-10-01,61843,7910.05,48.3,76.6
58,2022-11-01,59167,12434.05,28.2,97.6
59,2022-12-01,61231,8818.59,11.8,77.0
60,2023-01-01,64878,8643.6,24.2,81.3
61,2023-02-01,65174,5435.27,22.0,78.1
62,2023-03-01,65329,7263.33,51.8,97.5
63,2023-04-01,60091,9358.42,35.3,77.4
64,2023-05-01,62289,7885.21,16.0,83.4
65,2023-06-01,57731,4541.95,22.8,85.5
66,2023-07-01,59641,5286.17,54.3,94.4
67,2023-08-01,62961,9955.29,35.0,97.4
68,2023-09-01,64666,12642.46,21.9,96.4
69,2023-10-01,67454,3406.62,22.7,80.1
70,2023-11-01,62957,10206.21,48.4,87.1
71,2023-12-01,62838,13026.27,12.3,90.2
