,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,23488,703.1,53.6,84.1
1,2018-02-01,23744,1492.92,17.9,92.5
2,2018-03-01,24157,1342.73,32.0,87.7
3,2018-04-01,23672,1406.17,34.8,89.6
4,2018-05-01,24065,405.88,52.6,84.3
5,2018-06-01,22231,1227.47,53.6,87.8
6,2018-07-01,22676,1383.47,31.5,78.1
7,2018-08-01,23148,899.53,17.0,78.0
8,2018-09-01,24980,1219.01,12.4,92.4
9,2018-10-01,26003,1178.8,21.2,89.6
10,2018-11-01,24494,423.67,54.4,94.2
11,2018-12-01,24312,557.19,29.2,97.6
12,2019-01-01,26231,1332.19,23.7,95.6
13,2019-02-01,26456,745.38,24.1,77.2
14,2019-03-01,25232,1211.13,52.5,79.0
15,2019-04-01,24109,1230.51,34.9,86.8
16,2019-05-01,25441,1545.52,29.1,87.2
17,2019-06-01,24075,850.7,33.2,99.0
18,2019-07-01,24411,1164.95,28.2,89.8
19,2019-08-01,25848,1234.12,42.1,91.9
20,2019-09-01,27006,511.69,43.3,97.8
21,2019-10-01,27246,1427.68,33.8,89.6
22,2019-11-01,25735,1549.09,40.4,96.2
23,2019-12-01,25721,484.1,13.4,95.1
24,2020-01-01,27111,1531.58,29.0,84.1
25,2020-02-01,27003,323.06,51.1,81.0
26,2020-03-01,27394,1263.64,15.3,82.2
27,2020-04-01,25819,466.81,43.2,88.7
28,2020-05-01,25813,598.94,52.0,90.4
29,2020-06-01,25543,211.02,30.8,89.8
30,2020-07-01,25145,672.27,37.7,82.9
31,2020-08-01,26369,167.42,50.1,79.5
32,2020-09-01,27807,305.93,32.1,77.0
33,2020-10-01,28197,381.34,15.6,86.7
34,2020-11-01,26389,1105.55,20.2,84.5
35,2020-12-01,26735,776.81,18.2,94.5
36,2021-01-01,27864,791.54,47.8,78.9
37,2021-02-01,28403,784.9,26.2,95.9
38,2021-03-01,28254,432.98,11.8,84.5
39,2021-04-01,27922,1457.44,17.2,79.8
40,2021-05-01,27599,1117.95,22.0,85.1
41,2021-06-01,26440,1311.74,42.1,82.8
42,2021-07-01,26890,1429.74,32.6,97.2
43,2021-08-01,28554,719.94,14.9,77.6
44,2021-09-01,28650,383.98,32.5,93.4
45,2021-10-01,29149,1136.77,25.4,98.4
46,2021-11-01,28725,785.43,23.0,86.7
47,2021-12-01,28882,516.76,16.9,87.3
48,2022-01-01,29528,1264.09,48.9,98.9
49,2022-02-01,29643,1341.68,18.9,92.0
50,2022-03-01,30781,1169.65,32.6,79.3
51,2022-04-01,29749,1011.32,38.6,80.5
52,2022-05-01,28370,215.25,54.6,97.3
53,2022-06-01,27546,1047.71,14.1,76.2
54,2022-07-01,27623,601.28,38.5,80.6
55,2022-08-01,29065,850.04,32.9,90.5
56,2022-09-01,30579,547.71,22.6,83.4
57,2022-10-01,30910,620.57,12.1,76.0
58,2022-11-01,28900,1232.45,19.5,86.3
59,2022-12-01,30543,305.1,18.3,97.8
60,2023-01-01,31166,598.27,14.4,75.3
61,2023-02-01,31642,1401.24,24.9,92.8
62,2023-03-01,31401,1281.48,33.8,83.9
63,2023-04-01,30544,462.45,27.3,96.3
64,2023-05-01,29712,1229.33,15.4,89.1
65,2023-06-01,29692,1102.27,18.6,91.9
66,2023-07-01,29827,267.83,34.6,83.2
67,2023-08-01,31145,1585.09,19.1,92.3
68,2023-09-01,31500,436.06,34.8,81.1
69,2023-10-01,33242,1388.95,50.8,98.4
70,2023-11-01,31810,805.81,42.3,96.9
71,2023-12-01,30379,763.37,51.9,87.1
