,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,10663,2596.18,15.0,75.5
1,2018-02-01,10754,1610.8,18.8,75.8
2,2018-03-01,10922,2091.73,31.1,96.8
3,2018-04-01,10070,1225.89,10.5,77.3
4,2018-05-01,10169,2117.32,36.4,79.8
5,2018-06-01,10034,416.9,16.6,92.9
6,2018-07-01,9847,2051.86,25.8,95.5
7,2018-08-01,10734,2150.48,32.7,76.6
8,2018-09-01,11351,2596.83,33.8,92.2
9,2018-10-01,11503,840.17,43.9,75.1
10,2018-11-01,10854,3074.97,51.4,95.4
11,2018-12-01,10743,2403.45,18.3,91.2
12,2019-01-01,11083,2809.18,54.2,85.2
13,2019-02-01,11414,1540.51,44.3,82.5
14,2019-03-01,11434,1873.59,32.3,83.7
15,2019-04-01,10823,2474.75,13.7,86.8
16,2019-05-01,10937,1687.13,43.1,91.5
17,2019-06-01,10726,1000.84,28.3,98.6
18,2019-07-01,10513,2874.62,50.3,94.3
19,2019-08-01,11460,1421.3,10.6,91.2
20,2019-09-01,11899,1507.22,33.5,91.2
21,2019-10-01,11560,1502.59,41.3,98.5
22,2019-11-01,11482,2980.51,17.6,83.7
23,2019-12-01,11163,924.78,48.0,84.7
24,2020-01-01,11798,1591.37,32.5,93.4
25,2020-02-01,12236,2093.14,44.0,94.2
26,2020-03-01,12419,1387.61,40.0,97.8
27,2020-04-01,11910,1848.9,16.6,85.9
28,2020-05-01,11359,1783.34,20.4,97.6
29,2020-06-01,10777,2521.26,47.4,87.0
30,2020-07-01,10821,861.91,37.2,82.8
31,2020-08-01,11635,2181.0,44.2,90.9
32,2020-09-01,12432,1791.8,31.0,82.0
33,2020-10-01,12468,1829.24,34.4,94.4
34,2020-11-01,11956,382.48,44.4,98.8
35,2020-12-01,12251,683.83,30.3,95.5
36,2021-01-01,12586,436.86,18.0,90.8
37,2021-02-01,12896,2957.56,17.4,85.3
38,2021-03-01,12593,1485.57,44.4,88.7
39,2021-04-01,12174,1974.74,34.3,86.3
40,2021-05-01,12277,794.24,12.5,81.3
41,2021-06-01,11732,1452.06,40.4,93.4
42,2021-07-01,11565,512.43,36.6,78.1
43,2021-08-01,12284,2734.37,36.3,93.4
44,2021-09-01,13154,1460.3,29.3,98.8
45,2021-10-01,13040,497.65,21.0,80.6
46,2021-11-01,12395,582.28,41.0,95.9
47,2021-12-01,12296,834.24,34.2,75.9
48,2022-01-01,13395,1584.74,33.2,85.1
49,2022-02-01,12939,1725.01,11.0,82.6
50,2022-03-01,13432,1287.59,14.4,86.7
51,2022-04-01,12936,941.55,32.4,94.5
52,2022-05-01,12969,824.88,23.5,98.3
53,2022-06-01,12028,2217.27,53.8,76.8
54,2022-07-01,12553,965.82,21.9,82.1
55,2022-08-01,13050,2719.67,38.1,98.0
56,2022-09-01,13875,2047.23,36.6,81.6
57,2022-10-01,13804,1907.26,29.2,83.3
58,2022-11-01,12811,2776.5,32.7,82.2
59,2022-12-01,13325,1260.66,28.6,81.0
60,2023-01-01,13922,2324.53,34.6,96.1
61,2023-02-01,14069,1863.19,18.4,87.0
62,2023-03-01,14151,2777.01,52.2,81.4
63,2023-04-01,13510,2732.53,48.4,96.8
64,2023-05-01,13800,2488.05,12.7,79.8
65,2023-06-01,12796,1043.91,43.6,93.4
66,2023-07-01,13139,1548.47,48.7,96.9
67,2023-08-01,13711,2842.52,22.0,81.9
68,2023-09-01,14043,2369.96,20.6,80.7
69,2023-10-01,14086,412.28,45.9,82.5
70,2023-11-01,13742,3274.14,29.0,96.7
71,2023-12-01,13558,1139.95,11.3,94.0
