,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,63004,2623.03,44.5,99.0
1,2018-02-01,63252,865.05,39.6,81.4
2,2018-03-01,62981,4211.18,12.5,98.9
3,2018-04-01,58159,3921.44,45.9,83.5
4,2018-05-01,60654,3916.18,17.9,89.2
5,2018-06-01,57790,3311.78,51.1,75.7
6,2018-07-01,57709,4335.25,35.4,88.5
7,2018-08-01,59186,4500.89,49.7,86.8
8,2018-09-01,62905,2463.34,14.1,80.6
9,2018-10-01,62860,2610.81,10.0,97.0
10,2018-11-01,60088,989.35,42.3,97.1
11,2018-12-01,62744,1780.1,11.0,89.1
12,2019-01-01,66476,3626.03,48.1,95.7
13,2019-02-01,66957,1984.85,52.4,84.5
14,2019-03-01,63894,1690.73,16.1,78.8
15,2019-04-01,64320,3697.6,53.2,90.6
16,2019-05-01,61694,4422.0,41.2,97.3
17,2019-06-01,61087,1369.16,36.5,79.2
18,2019-07-01,59630,3274.4,15.7,92.5
19,2019-08-01,65512,4339.92,27.6,98.9
20,2019-09-01,69166,587.61,37.1,97.1
21,2019-10-01,69489,1359.57,35.4,97.5
22,2019-11-01,63270,3507.18,20.7,98.6
23,2019-12-01,63660,4080.39,14.0,92.0
24,2020-01-01,69078,4085.85,30.1,81.4
25,2020-02-01,67777,732.62,21.5,77.6
26,2020-03-01,67047,2035.41,43.0,98.3
27,2020-04-01,67639,2474.17,27.0,88.1
28,2020-05-01,64816,2418.51,48.9,90.6
29,2020-06-01,64071,1121.08,13.3,95.3
30,2020-07-01,62851,1760.15,52.8,76.8
31,2020-08-01,65942,1992.5,42.9,88.1
32,2020-09-01,72637,836.26,36.7,89.7
33,2020-10-01,71173,581.92,52.4,79.0
34,2020-11-01,69737,1098.34,14.6,79.9
35,2020-12-01,67161,3310.02,42.5,92.5
36,2021-01-01,71143,1607.84,20.7,76.2
37,2021-02-01,72776,3894.2,16.9,83.7
38,2021-03-01,72453,1661.18,39.8,89.4
39,2021-04-01,68339,560.39,17.7,82.0
40,2021-05-01,68131,3910.23,23.9,84.5
41,2021-06-01,66621,3161.96,14.1,88.1
42,2021-07-01,65675,4081.09,26.6,85.7
43,2021-08-01,69749,2359.41,20.2,81.4
44,2021-09-01,72634,3535.4,40.0,77.1
45,2021-10-01,74198,2672.23,53.7,89.2
46,2021-11-01,71854,3898.06,46.8,85.0
47,2021-12-01,72067,4004.93,31.4,96.2
48,2022-01-01,75705,778.32,50.6,92.1
49,2022-02-01,76128,4142.36,46.0,91.3
50,2022-03-01,76974,947.55,44.1,79.1
51,2022-04-01,75197,4436.02,46.4,78.0
52,2022-05-01,73026,4502.01,29.6,98.9
53,2022-06-01,70505,3870.67,21.6,96.9
54,2022-07-01,71992,729.41,27.5,84.5
55,2022-08-01,73459,1586.04,30.6,96.0
56,2022-09-01,79595,3006.42,33.5,85.1
57,2022-10-01,78150,1061.88,36.5,93.2
58,2022-11-01,77084,4242.58,35.3,77.4
59,2022-12-01,74425,2648.42,25.5,84.9
60,2023-01-01,78909,2443.47,37.4,75.9
61,2023-02-01,78697,1044.08,37.4,91.6
62,2023-03-01,77860,4097.81,24.9,80.7
63,2023-04-01,77682,4225.82,50.4,75.5
64,2023-05-01,78306,1696.01,22.6,86.8
65,2023-06-01,74139,857.2,49.1,78.2
66,2023-07-01,75644,2269.54,47.2,81.5
67,2023-08-01,77325,3098.55,18.5,80.1
68,2023-09-01,83495,3489.17,44.2,95.8
69,2023-10-01,83791,2565.03,17.2,82.5
70,2023-11-01,78615,1010.49,48.3,96.1
71,2023-12-01,76643,1244.37,47.5,95.1
