,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,6729,491.33,38.8,97.4
1,2018-02-01,6671,713.56,41.5,96.7
2,2018-03-01,6668,1184.07,52.3,86.8
3,2018-04-01,6329,1805.25,45.1,93.8
4,2018-05-01,6400,216.25,52.9,94.6
5,2018-06-01,6088,1282.09,52.1,83.6
6,2018-07-01,6191,967.16,38.5,98.0
7,2018-08-01,6319,1220.44,53.2,76.9
8,2018-09-01,6818,1658.7,39.2,79.2
9,2018-10-01,6677,936.07,18.6,91.7
10,2018-11-01,6727,1401.87,26.2,77.0
11,2018-12-01,6655,1599.76,16.3,79.6
12,2019-01-01,7057,1330.67,32.0,76.5
13,2019-02-01,7015,791.61,34.0,95.0
14,2019-03-01,7009,2092.13,11.7,76.3
15,2019-04-01,6843,290.92,15.3,94.4
16,2019-05-01,6826,1076.32,40.5,96.0
17,2019-06-01,6314,1304.96,51.6,75.9
18,2019-07-01,6340,1445.74,31.2,97.0
19,2019-08-01,6665,1535.45,15.9,79.1
20,2019-09-01,7032,790.87,45.7,85.9
21,2019-10-01,7116,1327.07,46.8,77.6
22,2019-11-01,6944,1720.44,19.9,94.3
23,2019-12-01,6945,1743.77,54.2,91.3
24,2020-01-01,7280,2054.36,35.9,78.3
25,2020-02-01,7539,1708.96,44.4,89.2
26,2020-03-01,7350,438.21,16.4,85.0
27,2020-04-01,7184,1255.94,29.7,97.2
28,2020-05-01,6935,398.94,48.1,89.7
29,2020-06-01,6918,239.54,31.9,75.2
30,2020-07-01,6703,378.48,39.3,96.3
31,2020-08-01,7189,1736.01,44.8,91.6
32,2020-09-01,7485,1419.27,33.5,84.9
33,2020-10-01,7853,1363.92,11.7,79.3
34,2020-11-01,7319,2006.06,38.2,93.8
35,2020-12-01,7283,218.64,20.6,77.8
36,2021-01-01,7764,390.84,26.3,93.3
37,2021-02-01,7801,624.43,44.7,90.8
38,2021-03-01,7710,576.13,45.8,91.4
39,2021-04-01,7684,1106.64,17.9,91.1
40,2021-05-01,7300,1428.79,22.8,85.4
41,2021-06-01,7089,1731.74,44.1,76.0
42,2021-07-01,7293,1957.99,17.9,93.9
43,2021-08-01,7592,429.36,50.3,92.3
44,2021-09-01,8056,826.09,18.9,91.2
45,2021-10-01,7960,1682.26,24.7,77.4
46,2021-11-01,7802,1854.09,26.9,80.3
47,2021-12-01,7710,1125.53,50.1,78.5
48,2022-01-01,8351,1069.93,27.4,78.3
49,2022-02-01,8283,1404.52,53.9,79.9
50,2022-03-01,8024,1518.28,12.7,78.3
51,2022-04-01,8014,1076.71,17.7,83.2
52,2022-05-01,8062,1350.87,45.5,90.3
53,2022-06-01,7565,531.18,53.7,95.5
54,2022-07-01,7357,1829.68,32.0,98.9
55,2022-08-01,8016,1791.91,22.6,92.5
56,2022-09-01,8523,676.18,24.7,88.9
57,2022-10-01,8635,1328.45,16.7,88.8
58,2022-11-01,7827,2062.55,11.8,86.3
59,2022-12-01,8228,273.54,33.9,86.5
60,2023-01-01,8687,1762.24,30.4,80.8
61,2023-02-01,8598,233.48,42.9,97.8
62,2023-03-01,8411,769.04,39.1,77.2
63,2023-04-01,8212,786.14,41.6,95.6
64,2023-05-01,8375,256.14,30.5,93.5
65,2023-06-01,8047,976.13,45.5,83.9
66,2023-07-01,7883,1407.13,48.7,76.7
67,2023-08-01,8543,839.19,11.5,85.2
68,2023-09-01,8675,1998.12,34.4,94.1
69,2023-10-01,8982,363.01,49.6,92.7
70,2023-11-01,8214,1996.66,40.4,96.3
71,2023-12-01,8273,900.97,37.9,83.8
