,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,50820,11893.18,28.6,80.2
1,2018-02-01,51344,7556.06,15.0,91.3
2,2018-03-01,51849,10566.03,23.9,80.3
3,2018-04-01,50781,2747.19,19.2,97.7
4,2018-05-01,50384,14494.5,23.0,77.9
5,2018-06-01,47332,8971.65,15.8,87.8
6,2018-07-01,46799,11092.46,40.1,83.5
7,2018-08-01,50004,14128.2,29.6,86.0
8,2018-09-01,51740,7024.28,29.3,84.7
9,2018-10-01,53787,6634.37,28.2,98.2
10,2018-11-01,50036,17532.49,30.7,91.6
11,2018-12-01,50857,9071.95,14.8,85.5
12,2019-01-01,53777,3142.4,49.2,92.9
13,2019-02-01,53446,14742.19,13.4,90.2
14,2019-03-01,54709,5051.05,44.9,83.4
15,2019-04-01,53686,12528.54,16.6,77.5
16,2019-05-01,51723,4713.14,16.9,93.2
17,2019-06-01,48821,17593.4,38.3,86.1
18,2019-07-01,50519,11435.99,40.7,96.2
19,2019-08-01,53674,18176.97,24.5,98.3
20,2019-09-01,55513,9122.47,31.1,90.2
21,2019-10-01,57389,11633.91,25.8,76.8
22,2019-11-01,53819,2462.78,26.6,81.9
23,2019-12-01,54655,18025.22,14.1,89.3
24,2020-01-01,56752,11450.25,52.9,92.7
25,2020-02-01,55822,16893.87,35.7,79.5
26,2020-03-01,58020,10142.64,53.1,85.8
27,2020-04-01,56182,15706.97,54.2,77.0
28,2020-05-01,55880,2488.19,41.8,98.8
29,2020-06-01,52931,11938.38,26.4,97.0
30,2020-07-01,52726,14665.14,40.6,76.3
31,2020-08-01,56561,7381.79,24.8,88.4
32,2020-09-01,58778,6013.05,48.3,98.1
33,2020-10-01,59801,4330.18,13.7,90.9
34,2020-11-01,58267,6977.44,39.5,90.9
35,2020-12-01,55817,13578.29,13.8,88.4
36,2021-01-01,60715,7279.57,15.8,91.9
37,2021-02-01,62072,18353.04,51.1,77.2
38,2021-03-01,61325,10260.57,10.8,82.4
39,2021-04-01,59627,7499.09,44.5,79.6
40,2021-05-01,60046,4405.89,23.3,93.9
41,2021-06-01,55638,10778.6,43.2,87.6
42,2021-07-01,56385,16353.06,37.8,89.3
43,2021-08-01,57799,4834.81,41.2,90.0
44,2021-09-01,63732,13782.79,12.0,83.7
45,2021-10-01,63305,17896.39,37.5,93.1
46,2021-11-01,60766,5715.09,20.8,98.2
47,2021-12-01,61014,16809.82,18.7,91.3
48,2022-01-01,63511,9136.29,44.6,93.7
49,2022-02-01,63509,8773.02,17.3,79.8
50,2022-03-01,64153,16296.91,12.3,86.5
51,2022-04-01,60487,17311.9,42.0,87.4
52,2022-05-01,59822,3228.97,17.2,85.8
53,2022-06-01,58417,15602.13,14.1,96.9
54,2022-07-01,59713,16489.47,51.9,85.0
55,2022-08-01,61541,8032.8,27.4,77.0
56,2022-09-01,64197,7117.42,14.5,92.2
57,2022-10-01,64883,4258.58,11.7,97.0
58,2022-11-01,62548,15603.19,44.1,86.3
59,2022-12-01,63329,16841.0,10.9,80.2
60,2023-01-01,64898,17410.14,37.4,85.2
61,2023-02-01,67649,5775.32,15.5,80.7
62,2023-03-01,67357,12153.74,12.8,95.1
63,2023-04-01,63860,10717.05,38.4,88.8
64,2023-05-01,64944,6663.46,10.1,83.5
65,2023-06-01,61387,4941.92,40.1,87.6
66,2023-07-01,60844,17628.36,34.5,93.9
67,2023-08-01,64858,2176.74,49.3,76.0
68,2023-09-01,67860,8021.89,43.6,83.6
69,2023-10-01,66799,5833.05,39.6,77.5
70,2023-11-01,65877,14370.6,16.0,83.5
71,2023-12-01,65159,12484.7,47.4,91.4
