,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,33061,199.59,13.5,82.8
1,2018-02-01,33053,364.13,50.5,91.9
2,2018-03-01,33889,125.43,38.9,75.9
3,2018-04-01,32413,299.29,45.1,97.1
4,2018-05-01,31663,601.97,29.5,97.3
5,2018-06-01,29835,535.51,43.6,95.4
6,2018-07-01,31467,452.59,38.4,76.3
7,2018-08-01,32496,261.48,35.4,82.8
8,2018-09-01,34641,160.57,40.3,98.9
9,2018-10-01,35371,524.85,35.9,77.2
10,2018-11-01,32782,545.22,16.7,83.1
11,2018-12-01,33025,520.28,34.7,81.3
12,2019-01-01,34678,331.45,41.4,93.3
13,2019-02-01,35014,187.85,27.8,88.7
14,2019-03-01,35347,673.23,33.6,80.8
15,2019-04-01,33224,328.76,40.8,88.8
16,2019-05-01,33066,318.75,26.4,79.6
17,2019-06-01,32007,465.66,44.6,79.1
18,2019-07-01,32164,566.61,46.1,90.0
19,2019-08-01,34198,628.96,20.5,91.4
20,2019-09-01,35453,510.06,13.9,92.7
21,2019-10-01,35804,444.76,16.6,95.0
22,2019-11-01,34345,276.04,46.2,82.3
23,2019-12-01,34884,269.12,43.3,80.1
24,2020-01-01,36958,523.34,34.7,90.0
25,2020-02-01,38113,489.76,40.1,84.0
26,2020-03-01,38089,387.53,21.5,76.4
27,2020-04-01,34930,490.64,22.2,86.2
28,2020-05-01,36679,107.96,39.7,90.9
29,2020-06-01,34931,286.33,14.9,82.0
30,2020-07-01,35022,302.31,54.1,87.2
31,2020-08-01,36648,616.6,31.8,89.3
32,2020-09-01,37223,188.32,53.5,88.5
33,2020-10-01,38819,91.65,51.5,82.3
34,2020-11-01,36639,519.72,10.8,91.4
35,2020-12-01,36497,251.16,54.8,98.5
36,2021-01-01,38299,105.17,21.6,84.3
37,2021-02-01,40155,669.14,52.5,97.8
38,2021-03-01,38504,275.14,27.7,78.3
39,2021-04-01,37957,383.84,40.5,95.9
40,2021-05-01,38017,321.03,35.8,85.2
41,2021-06-01,35461,435.26,30.2,78.2
42,2021-07-01,36343,420.48,40.8,79.9
43,2021-08-01,37238,485.78,50.4,96.8
44,2021-09-01,39963,619.72,44.7,90.7
45,2021-10-01,40452,163.51,13.1,87.8
46,2021-11-01,39040,179.36,47.8,78.5
47,2021-12-01,37597,261.1,53.8,98.1
48,2022-01-01,40306,520.46,47.0,90.3
49,2022-02-01,41536,159.81,18.5,78.2
50,2022-03-01,39946,666.47,37.8,89.5
51,2022-04-01,39578,429.79,20.4,75.6
52,2022-05-01,38473,541.24,16.0,95.3
53,2022-06-01,37573,462.11,18.3,84.3
54,2022-07-01,37732,167.0,20.2,84.8
55,2022-08-01,41060,629.7,52.8,80.3
56,2022-09-01,42530,190.72,19.2,79.2
57,2022-10-01,43414,334.37,37.8,91.5
58,2022-11-01,41294,606.71,29.2,93.6
59,2022-12-01,40823,568.28,42.4,84.5
60,2023-01-01,43879,414.95,34.1,90.4
61,2023-02-01,43442,90.9,14.9,86.0
62,2023-03-01,44057,600.75,21.1,87.9
63,2023-04-01,42380,91.35,27.4,93.4
64,2023-05-01,42488,182.83,29.8,96.2
65,2023-06-01,40069,241.19,17.5,82.1
66,2023-07-01,40565,486.65,50.7,86.1
67,2023-08-01,42175,122.44,32.5,79.3
68,2023-09-01,44289,610.8,34.6,84.4
69,2023-10-01,43758,82.63,30.4,96.5
70,2023-11-01,43281,603.65,14.1,82.8
71,2023-12-01,42811,499.72,17.4,92.6
