,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,38631,15724.96,36.7,82.7
1,2018-02-01,38311,17552.63,22.6,85.8
2,2018-03-01,39685,11429.93,40.1,83.1
3,2018-04-01,37406,7320.36,31.9,83.5
4,2018-05-01,37057,6559.07,36.8,96.1
5,2018-06-01,36017,10536.59,18.6,80.8
6,2018-07-01,35868,11183.63,20.8,86.4
7,2018-08-01,38638,9387.61,10.8,82.1
8,2018-09-01,40022,5948.88,39.9,83.9
9,2018-10-01,40576,7634.97,54.8,88.2
10,2018-11-01,38359,9481.11,23.8,80.5
11,2018-12-01,39403,7161.47,43.4,97.8
12,2019-01-01,41492,5080.02,43.2,81.6
13,2019-02-01,41438,14625.09,36.9,98.5
14,2019-03-01,42235,6837.5,26.2,82.3
15,2019-04-01,40115,3989.69,12.0,76.3
16,2019-05-01,39307,17711.54,38.7,93.1
17,2019-06-01,37082,2070.87,22.8,86.5
18,2019-07-01,37797,18070.88,21.4,95.7
19,2019-08-01,39420,2961.79,32.1,88.8
20,2019-09-01,43041,4411.74,46.5,97.8
21,2019-10-01,41693,6030.89,35.1,85.0
22,2019-11-01,41140,12245.15,44.9,84.1
23,2019-12-01,42095,6856.07,36.5,85.3
24,2020-01-01,43513,2875.97,53.2,77.4
25,2020-02-01,44214,12364.27,21.9,76.9
26,2020-03-01,43038,11130.19,17.0,84.8
27,2020-04-01,42297,9752.48,11.5,81.9
28,2020-05-01,41457,16293.5,13.2,80.6
29,2020-06-01,39513,15146.09,36.5,94.3
30,2020-07-01,39523,3791.52,20.1,78.6
31,2020-08-01,41957,4252.44,12.7,94.0
32,2020-09-01,45132,15699.87,51.5,85.5
33,2020-10-01,44984,6969.17,28.1,81.5
34,2020-11-01,43209,9212.78,36.9,96.3
35,2020-12-01,43898,11998.33,11.2,80.5
36,2021-01-01,46123,16308.78,36.4,75.5
37,2021-02-01,46567,15652.56,35.9,93.3
38,2021-03-01,45134,10575.81,29.9,81.7
39,2021-04-01,45335,9181.33,46.6,98.3
40,2021-05-01,44127,8719.12,24.4,77.5
41,2021-06-01,41312,8774.46,32.3,90.9
42,2021-07-01,42091,14629.99,11.7,77.1
43,2021-08-01,44092,3810.74,44.8,95.8
44,2021-09-01,48107,1884.32,49.1,86.1
45,2021-10-01,46112,10567.01,38.0,87.0
46,2021-11-01,45149,2731.3,22.0,78.1
47,2021-12-01,44912,16650.01,31.8,75.7
48,2022-01-01,48331,15281.48,41.9,82.5
49,2022-02-01,46745,8713.12,20.1,95.2
50,2022-03-01,47221,17761.41,39.1,78.7
51,2022-04-01,47424,6763.9,41.7,85.0
52,2022-05-01,46359,9791.21,30.6,78.5
53,2022-06-01,43440,11925.55,43.6,78.3
54,2022-07-01,43288,14834.35,48.4,83.2
55,2022-08-01,47768,6349.49,10.1,92.4
56,2022-09-01,50500,11599.01,39.7,95.8
57,2022-10-01,49531,9994.67,25.0,93.3
58,2022-11-01,47158,17522.93,49.1,98.5
59,2022-12-01,46944,8293.17,48.5,84.9
60,2023-01-01,49720,9803.91,51.1,84.1
61,2023-02-01,51940,15165.33,39.3,78.7
62,2023-03-01,52066,3984.04,53.4,83.0
63,2023-04-01,47264,16048.99,14.5,96.9
64,2023-05-01,47195,4284.65,49.2,98.3
65,2023-06-01,45170,14982.9,21.9,90.0
66,2023-07-01,46240,3213.09,24.8,91.2
67,2023-08-01,49258,17880.23,38.2,96.3
68,2023-09-01,51772,10945.95,37.8,80.6
69,2023-10-01,52577,6688.66,20.2,77.2
70,2023-11-01,51136,14627.81,41.7,77.4
71,2023-12-01,48894,6891.54,11.3,82.8
