,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,42287,1549.0,13.0,80.0
1,2018-02-01,43890,1415.3,54.1,88.6
2,2018-03-01,43187,2101.69,17.8,91.1
3,2018-04-01,42327,2148.08,47.7,77.7
4,2018-05-01,42174,1139.24,14.4,85.7
5,2018-06-01,39569,1349.12,36.9,91.5
6,2018-07-01,40457,2429.85,24.7,90.5
7,2018-08-01,41426,857.97,16.3,88.9
8,2018-09-01,45575,2403.68,44.1,90.9
9,2018-10-01,44976,1050.82,37.7,85.7
10,2018-11-01,42397,2580.08,23.5,94.1
11,2018-12-01,43831,2687.29,52.2,92.2
12,2019-01-01,46887,2874.65,36.2,89.7
13,2019-02-01,45991,2502.33,48.4,76.5
14,2019-03-01,47288,2816.22,10.0,88.4
15,2019-04-01,45451,576.31,22.7,75.7
16,2019-05-01,44205,1830.33,38.1,92.1
17,2019-06-01,42123,1425.85,19.5,79.2
18,2019-07-01,41635,1739.65,47.9,83.6
19,2019-08-01,44777,1042.91,49.3,78.0
20,2019-09-01,46074,1982.3,16.5,96.2
21,2019-10-01,48132,2834.68,16.1,78.3
22,2019-11-01,46451,2535.0,50.2,91.7
23,2019-12-01,47002,1916.68,30.4,85.2
24,2020-01-01,49252,1294.11,20.2,85.2
25,2020-02-01,47105,1590.19,42.9,92.1
26,2020-03-01,48079,2708.33,35.9,75.8
27,2020-04-01,45344,1551.33,26.6,88.9
28,2020-05-01,48139,498.96,42.9,87.6
29,2020-06-01,45657,2249.02,22.6,87.4
30,2020-07-01,44951,1882.28,21.0,90.1
31,2020-08-01,47921,2035.35,40.8,87.9
32,2020-09-01,50282,1890.03,50.7,87.8
33,2020-10-01,48782,1475.03,50.8,88.8
34,2020-11-01,47583,1211.11,54.0,82.1
35,2020-12-01,47310,2104.08,36.9,82.3
36,2021-01-01,51772,969.76,38.3,88.9
37,2021-02-01,51340,2002.99,23.1,92.7
38,2021-03-01,49875,1555.22,15.7,76.8
39,2021-04-01,49927,947.85,37.7,81.6
40,2021-05-01,48577,2225.13,37.2,96.8
41,2021-06-01,47700,2010.4,26.6,79.2
42,2021-07-01,48020,906.47,18.1,87.7
43,2021-08-01,48511,2858.43,53.5,89.3
44,2021-09-01,53636,2476.17,43.9,84.9
45,2021-10-01,52464,2014.34,42.7,79.0
46,2021-11-01,50759,2487.18,12.4,81.3
47,2021-12-01,51700,427.09,30.9,86.4
48,2022-01-01,53403,2764.94,51.5,80.6
49,2022-02-01,54285,1308.08,21.8,87.7
50,2022-03-01,53698,1043.75,45.9,84.2
51,2022-04-01,50976,1673.96,53.0,77.3
52,2022-05-01,51848,1213.49,48.0,89.7
53,2022-06-01,49808,1001.46,22.2,94.3
54,2022-07-01,48824,1814.7,30.7,91.2
55,2022-08-01,51553,2043.63,44.7,87.5
56,2022-09-01,55786,2882.29,24.1,75.3
57,2022-10-01,53778,467.35,28.5,87.6
58,2022-11-01,53568,1207.46,42.6,81.0
59,2022-12-01,51696,1906.63,12.6,89.3
60,2023-01-01,57382,855.91,37.0,77.9
61,2023-02-01,57817,515.47,37.2,84.0
62,2023-03-01,57380,1981.03,46.1,79.4
63,2023-04-01,52740,770.93,23.3,90.9
64,2023-05-01,52825,1473.49,54.8,93.5
65,2023-06-01,52285,2032.38,44.7,81.2
66,2023-07-01,52758,1013.72,12.8,84.3
67,2023-08-01,56450,964.0,46.6,79.3
68,2023-09-01,56282,2846.29,19.0,84.4
69,2023-10-01,58496,573.0,34.3,85.4
70,2023-11-01,55812,567.31,29.9,81.2
71,2023-12-01,54084,473.78,42.7,93.7
