,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,503377,0,27.8,97.6
1,2018-02-01,505808,0,32.8,81.4
2,2018-03-01,504608,0,23.8,96.7
3,2018-04-01,490141,0,40.3,75.1
4,2018-05-01,492536,0,11.5,75.6
5,2018-06-01,466927,0,47.8,87.5
6,2018-07-01,467831,0,24.3,79.1
7,2018-08-01,489885,0,29.4,88.3
8,2018-09-01,511268,0,37.7,84.4
9,2018-10-01,503173,0,51.9,85.3
10,2018-11-01,507852,0,27.6,92.5
11,2018-12-01,494262,0,24.3,78.8
12,2019-01-01,516006,0,42.0,78.0
13,2019-02-01,514869,0,36.0,84.4
14,2019-03-01,537724,0,51.2,95.1
15,2019-04-01,496170,0,24.5,77.2
16,2019-05-01,494394,0,10.5,93.5
17,2019-06-01,475551,0,37.8,88.0
18,2019-07-01,501718,0,35.7,75.6
19,2019-08-01,523161,0,54.3,90.2
20,2019-09-01,553234,0,18.4,90.7
21,2019-10-01,537507,0,18.7,95.2
22,2019-11-01,530049,0,46.3,84.1
23,2019-12-01,517744,0,12.3,77.0
24,2020-01-01,542178,0,11.0,98.6
25,2020-02-01,568734,0,15.0,97.3
26,2020-03-01,546291,0,16.4,81.3
27,2020-04-01,524428,0,13.5,95.3
28,2020-05-01,550317,0,19.4,77.4
29,2020-06-01,521478,0,28.6,86.7
30,2020-07-01,518504,0,19.5,85.1
31,2020-08-01,556775,0,38.5,85.8
32,2020-09-01,562053,0,23.4,96.7
33,2020-10-01,581701,0,38.4,95.5
34,2020-11-01,538431,0,25.4,83.3
35,2020-12-01,569868,0,37.0,75.1
36,2021-01-01,584329,0,21.5,77.9
37,2021-02-01,589761,0,34.1,87.4
38,2021-03-01,597707,0,19.7,83.8
39,2021-04-01,576273,0,11.3,78.3
40,2021-05-01,551034,0,41.1,78.0
41,2021-06-01,531807,0,19.0,77.2
42,2021-07-01,548115,0,39.3,86.2
43,2021-08-01,582803,0,29.6,97.7
44,2021-09-01,618553,0,21.3,79.7
45,2021-10-01,618305,0,42.3,98.1
46,2021-11-01,565428,0,45.7,89.1
47,2021-12-01,569908,0,19.3,92.3
48,2022-01-01,610668,0,30.1,89.3
49,2022-02-01,607145,0,24.3,77.6
50,2022-03-01,613703,0,19.0,83.5
51,2022-04-01,605063,0,46.9,85.8
52,2022-05-01,607163,0,53.1,81.1
53,2022-06-01,562800,0,37.2,96.1
54,2022-07-01,583442,0,33.9,84.6
55,2022-08-01,586455,0,46.4,85.3
56,2022-09-01,620888,0,21.0,80.2
57,2022-10-01,630384,0,16.5,82.5
58,2022-11-01,589500,0,41.0,92.2
59,2022-12-01,599244,0,35.5,82.7
60,2023-01-01,632354,0,13.0,81.8
61,2023-02-01,633985,0,19.8,88.5
62,2023-03-01,655991,0,52.6,94.4
63,2023-04-01,625460,0,35.8,90.5
64,2023-05-01,628231,0,29.6,94.5
65,2023-06-01,581864,0,12.2,86.9
66,2023-07-01,578649,0,22.3,77.9
67,2023-08-01,626695,0,37.1,89.2
68,2023-09-01,651887,0,11.0,75.4
69,2023-10-01,676125,0,35.9,75.1
70,2023-11-01,634053,0,15.9,98.2
71,2023-12-01,620136,0,34.0,87.7
