,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,5453,197.32,10.4,79.2
1,2018-02-01,5462,1381.0,32.0,84.4
2,2018-03-01,5334,1689.19,39.3,87.9
3,2018-04-01,5360,1585.46,30.0,78.0
4,2018-05-01,5411,833.6,37.1,84.3
5,2018-06-01,5125,1578.3,54.3,78.0
6,2018-07-01,5008,520.01,10.4,92.8
7,2018-08-01,5422,1353.75,41.9,79.6
8,2018-09-01,5740,1259.15,46.4,80.3
9,2018-10-01,5823,1844.08,11.7,86.8
10,2018-11-01,5482,1226.31,10.3,98.6
11,2018-12-01,5487,379.72,22.5,87.0
12,2019-01-01,5627,521.35,43.2,91.1
13,2019-02-01,5803,490.15,36.5,92.9
14,2019-03-01,5665,1786.39,48.5,96.1
15,2019-04-01,5620,659.1,48.1,75.6
16,2019-05-01,5727,1348.93,37.7,91.3
17,2019-06-01,5438,193.34,29.2,91.2
18,2019-07-01,5388,1650.1,24.5,95.3
19,2019-08-01,5615,398.14,33.3,86.9
20,2019-09-01,5962,264.32,42.5,76.1
21,2019-10-01,6133,1100.42,24.2,84.4
22,2019-11-01,5667,1694.97,46.3,98.8
23,2019-12-01,5655,1369.13,53.1,97.0
24,2020-01-01,5954,752.97,12.8,90.0
25,2020-02-01,5918,928.63,11.1,94.1
26,2020-03-01,6278,1627.27,21.1,86.4
27,2020-04-01,6013,1613.6,47.0,87.5
28,2020-05-01,5785,314.68,37.0,85.5
29,2020-06-01,5472,953.44,15.6,98.4
30,2020-07-01,5774,835.35,50.1,91.6
31,2020-08-01,6056,296.02,46.1,76.3
32,2020-09-01,6321,928.44,14.6,76.3
33,2020-10-01,6137,1643.38,28.1,89.8
34,2020-11-01,6000,1668.44,45.4,90.0
35,2020-12-01,6041,983.8,29.3,89.9
36,2021-01-01,6235,1303.08,40.4,75.6
37,2021-02-01,6421,1195.16,14.9,75.3
38,2021-03-01,6524,1203.84,47.8,96.7
39,2021-04-01,6022,1060.22,26.0,86.6
40,2021-05-01,6231,507.93,16.2,76.1
41,2021-06-01,5769,1189.53,33.1,90.6
42,2021-07-01,5875,1188.07,34.4,78.5
43,2021-08-01,6252,1221.69,23.1,98.3
44,2021-09-01,6610,1314.63,16.5,80.7
45,2021-10-01,6757,1146.66,12.5,83.3
46,2021-11-01,6521,1285.35,19.1,76.6
47,2021-12-01,6247,1003.49,41.1,86.2
48,2022-01-01,6788,1646.93,35.5,83.1
49,2022-02-01,6657,751.94,14.7,96.0
50,2022-03-01,6931,1038.04,51.4,90.3
51,2022-04-01,6543,987.78,19.6,86.5
52,2022-05-01,6599,1583.06,46.3,84.0
53,2022-06-01,6157,1602.6,10.3,75.2
54,2022-07-01,6165,1138.52,16.4,85.6
55,2022-08-01,6623,1750.73,26.2,98.4
56,2022-09-01,6801,675.81,19.9,81.3
57,2022-10-01,6818,1639.28,21.1,79.7
58,2022-11-01,6519,637.66,14.6,95.0
59,2022-12-01,6528,1309.83,49.8,83.1
60,2023-01-01,6912,970.11,26.6,83.9
61,2023-02-01,6922,1091.04,46.0,90.0
62,2023-03-01,7060,1405.71,15.3,96.2
63,2023-04-01,6626,514.29,34.0,91.7
64,2023-05-01,6728,924.51,38.6,97.1
65,2023-06-01,6589,1194.33,48.4,82.1
66,2023-07-01,6373,612.66,38.3,81.7
67,2023-08-01,6725,1059.14,36.3,86.7
68,2023-09-01,7349,1531.78,45.6,89.8
69,2023-10-01,7132,853.68,49.7,93.0
70,2023-11-01,6904,1077.31,18.1,92.1
71,2023-12-01,6992,1016.44,53.0,86.4
