,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,12473,1177.59,51.5,88.7
1,2018-02-01,12193,268.64,24.6,90.1
2,2018-03-01,12356,1351.54,44.7,78.2
3,2018-04-01,11673,1139.04,40.9,98.5
4,2018-05-01,12083,233.11,10.8,96.9
5,2018-06-01,11386,811.89,43.4,87.1
6,2018-07-01,11617,162.35,11.0,93.2
7,2018-08-01,11865,453.5,29.3,80.8
8,2018-09-01,12483,324.51,32.4,79.8
9,2018-10-01,12772,982.86,20.7,92.4
10,2018-11-01,12674,724.06,49.5,78.2
11,2018-12-01,12236,1172.0,11.8,94.0
12,2019-01-01,12985,1205.59,43.8,80.5
13,2019-02-01,13296,592.26,19.3,76.3
14,2019-03-01,13504,1434.83,46.1,91.7
15,2019-04-01,12395,1283.88,33.5,79.4
16,2019-05-01,12762,229.33,32.1,97.9
17,2019-06-01,11761,1439.58,52.2,78.0
18,2019-07-01,11904,861.25,45.8,79.9
19,2019-08-01,12844,701.24,31.0,78.9
20,2019-09-01,13296,698.34,37.3,82.3
21,2019-10-01,13666,1407.88,19.1,95.7
22,2019-11-01,12999,1386.07,26.2,84.1
23,2019-12-01,13049,696.62,37.4,85.4
24,2020-01-01,13502,1389.65,31.7,93.3
25,2020-02-01,13788,253.62,50.8,82.2
26,2020-03-01,13941,866.47,17.9,84.1
27,2020-04-01,13151,514.61,35.3,86.5
28,2020-05-01,13230,1077.9,18.8,97.0
29,2020-06-01,12372,1269.46,42.9,84.0
30,2020-07-01,12733,687.65,27.8,92.8
31,2020-08-01,13445,546.69,54.4,76.7
32,2020-09-01,14607,1440.18,15.6,97.4
33,2020-10-01,14048,1140.65,53.1,93.5
34,2020-11-01,13921,599.9,41.9,90.2
35,2020-12-01,13664,220.3,27.3,85.2
36,2021-01-01,14302,768.43,51.5,83.7
37,2021-02-01,14764,181.87,40.0,78.5
38,2021-03-01,14738,1377.27,16.6,80.9
39,2021-04-01,14072,1009.7,17.3,77.8
40,2021-05-01,13720,1073.65,27.3,91.9
41,2021-06-01,13798,249.85,50.9,96.0
42,2021-07-01,13202,702.07,41.1,87.0
43,2021-08-01,14268,1302.08,36.4,92.6
44,2021-09-01,15240,1351.24,49.1,77.6
45,2021-10-01,15140,1185.78,46.6,81.5
46,2021-11-01,14163,1121.52,41.5,75.2
47,2021-12-01,14185,786.7,14.4,93.6
48,2022-01-01,15183,688.98,23.0,85.3
49,2022-02-01,15022,388.25,16.0,86.7
50,2022-03-01,15383,288.86,35.5,80.1
51,2022-04-01,14442,1123.64,46.4,79.6
52,2022-05-01,15192,1282.46,29.8,96.9
53,2022-06-01,13752,975.55,13.6,77.1
54,2022-07-01,13819,228.86,11.3,80.6
55,2022-08-01,14926,1137.5,10.4,81.4
56,2022-09-01,16178,1013.25,45.5,76.0
57,2022-10-01,15535,1178.28,26.9,87.5
58,2022-11-01,15534,491.92,31.9,93.2
59,2022-12-01,15268,584.2,40.7,83.2
60,2023-01-01,15816,457.67,26.3,84.6
61,2023-02-01,16161,1417.77,49.3,94.4
62,2023-03-01,15635,1281.06,28.1,95.1
63,2023-04-01,15799,178.51,15.5,87.7
64,2023-05-01,15883,1125.63,21.2,85.8
65,2023-06-01,14912,1280.16,33.2,90.8
66,2023-07-01,14361,977.69,52.4,82.7
67,2023-08-01,15766,1284.83,53.6,92.7
68,2023-09-01,16659,449.79,31.8,92.7
69,2023-10-01,16836,599.58,52.3,97.6
70,2023-11-01,15792,1004.13,41.5,77.4
71,2023-12-01,15764,937.36,42.0,95.9
