,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,6652,468.09,53.5,82.0
1,2018-02-01,7008,208.86,53.8,79.6
2,2018-03-01,6985,736.46,34.0,87.3
3,2018-04-01,6394,666.86,32.9,88.5
4,2018-05-01,6550,872.77,19.3,75.1
5,2018-06-01,6321,854.42,10.4,97.3
6,2018-07-01,6330,747.14,42.4,81.2
7,2018-08-01,6831,495.08,22.1,77.9
8,2018-09-01,6941,783.28,23.1,90.4
9,2018-10-01,7280,472.47,16.0,96.0
10,2018-11-01,6604,1325.73,54.5,80.0
11,2018-12-01,6661,923.1,38.5,98.3
12,2019-01-01,7117,1284.91,49.8,81.3
13,2019-02-01,7068,1226.48,23.3,98.6
14,2019-03-01,7316,147.65,26.0,92.5
15,2019-04-01,6855,446.02,10.7,90.8
16,2019-05-01,7133,1275.91,36.2,92.3
17,2019-06-01,6736,1283.97,21.6,90.0
18,2019-07-01,6733,385.48,29.9,82.8
19,2019-08-01,6950,900.21,48.6,84.5
20,2019-09-01,7439,1021.72,29.5,78.6
21,2019-10-01,7488,737.59,30.7,94.6
22,2019-11-01,7033,827.13,52.5,79.3
23,2019-12-01,7110,511.84,49.8,94.6
24,2020-01-01,7684,363.24,16.5,85.2
25,2020-02-01,7612,918.82,28.1,92.4
26,2020-03-01,7499,1046.79,10.5,77.4
27,2020-04-01,7282,268.69,10.6,94.9
28,2020-05-01,7557,295.6,44.7,81.4
29,2020-06-01,7213,863.56,45.7,75.2
30,2020-07-01,7182,793.98,46.8,95.5
31,2020-08-01,7276,304.16,44.2,96.4
32,2020-09-01,8018,508.47,31.6,80.9
33,2020-10-01,7923,459.96,34.5,75.5
34,2020-11-01,7352,796.74,14.6,96.3
35,2020-12-01,7552,136.47,20.1,80.4
36,2021-01-01,7949,564.27,22.9,97.1
37,2021-02-01,8126,969.42,42.2,96.6
38,2021-03-01,8067,1338.78,20.1,98.0
39,2021-04-01,7618,227.69,25.0,83.7
40,2021-05-01,7949,238.04,12.0,78.6
41,2021-06-01,7363,541.84,18.2,85.2
42,2021-07-01,7600,969.9,38.1,81.9
43,2021-08-01,8025,464.38,32.5,83.9
44,2021-09-01,8157,1236.99,45.9,93.9
45,2021-10-01,8488,1323.33,45.0,78.5
46,2021-11-01,7776,677.73,45.9,98.4
47,2021-12-01,8127,272.49,29.2,92.4
48,2022-01-01,8230,527.51,15.7,93.4
49,2022-02-01,8368,735.46,31.7,98.3
50,2022-03-01,8528,908.47,16.2,97.7
51,2022-04-01,8310,600.57,34.7,87.9
52,2022-05-01,8134,786.5,20.4,77.0
53,2022-06-01,7861,775.24,44.9,94.5
54,2022-07-01,7660,241.01,26.3,79.9
55,2022-08-01,8407,575.31,31.3,78.2
56,2022-09-01,8476,1242.3,26.2,95.4
57,2022-10-01,8859,304.31,30.7,95.0
58,2022-11-01,8356,1266.58,28.9,80.1
59,2022-12-01,8224,1042.6,15.3,91.7
60,2023-01-01,8626,1025.69,41.3,85.2
61,2023-02-01,8611,263.8,36.2,86.4
62,2023-03-01,8932,327.18,16.6,78.4
63,2023-04-01,8361,150.16,47.4,85.0
64,2023-05-01,8659,705.76,16.3,87.7
65,2023-06-01,8346,706.27,42.5,85.7
66,2023-07-01,8229,151.05,15.0,76.4
67,2023-08-01,8693,869.07,17.8,78.8
68,2023-09-01,9028,649.7,52.7,85.9
69,2023-10-01,9234,448.54,35.7,82.3
70,2023-11-01,8574,1266.71,22.2,77.2
71,2023-12-01,8684,1290.55,43.4,84.6
