,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,45198,1625.87,36.3,75.9
1,2018-02-01,44925,494.73,48.8,84.5
2,2018-03-01,45386,1574.72,35.7,97.5
3,2018-04-01,43617,1042.12,16.0,77.0
4,2018-05-01,44018,728.73,36.3,86.2
5,2018-06-01,42468,846.11,31.0,84.8
6,2018-07-01,43140,674.31,27.2,79.3
7,2018-08-01,44095,1191.43,26.2,77.0
8,2018-09-01,48250,982.65,39.0,93.9
9,2018-10-01,48720,329.99,13.2,75.9
10,2018-11-01,44640,484.72,24.8,82.3
11,2018-12-01,46538,1251.57,22.4,91.9
12,2019-01-01,49622,1747.49,43.9,92.8
13,2019-02-01,49607,188.44,23.5,94.7
14,2019-03-01,49461,811.0,28.3,88.9
15,2019-04-01,46968,918.41,33.1,93.3
16,2019-05-01,45766,801.07,20.2,93.0
17,2019-06-01,44549,987.42,45.4,93.2
18,2019-07-01,45420,901.71,45.6,82.5
19,2019-08-01,46509,1387.96,41.4,80.0
20,2019-09-01,49842,1054.55,26.9,88.9
21,2019-10-01,49099,1660.78,10.4,94.4
22,2019-11-01,49006,710.22,28.9,91.5
23,2019-12-01,47978,1401.36,34.2,82.8
24,2020-01-01,49441,1411.94,51.5,78.7
25,2020-02-01,52512,695.14,38.3,89.5
26,2020-03-01,51682,1540.44,54.1,79.9
27,2020-04-01,48798,1016.82,18.5,77.6
28,2020-05-01,49541,886.17,50.3,77.2
29,2020-06-01,45956,1045.83,11.4,91.5
30,2020-07-01,47246,469.04,13.1,98.1
31,2020-08-01,49333,542.04,39.7,76.7
32,2020-09-01,51307,991.69,17.7,95.6
33,2020-10-01,52650,422.33,15.0,87.9
34,2020-11-01,50562,283.3,53.0,95.8
35,2020-12-01,49714,498.94,29.4,92.0
36,2021-01-01,53531,1125.84,52.3,89.1
37,2021-02-01,53846,1253.62,22.4,75.2
38,2021-03-01,52905,275.75,28.0,94.4
39,2021-04-01,51785,1608.73,49.6,86.0
40,2021-05-01,52158,1336.23,23.0,96.1
41,2021-06-01,49399,1278.0,42.0,82.1
42,2021-07-01,50071,1450.73,17.9,81.0
43,2021-08-01,53828,1329.86,30.6,96.9
44,2021-09-01,54369,1070.57,27.7,97.7
45,2021-10-01,54779,1546.1,22.3,90.1
46,2021-11-01,52549,1618.17,41.4,92.3
47,2021-12-01,52522,952.24,54.7,88.3
48,2022-01-01,58000,295.54,14.7,93.4
49,2022-02-01,55962,885.22,21.4,87.1
50,2022-03-01,56650,290.28,41.3,93.0
51,2022-04-01,53903,1349.88,48.5,84.5
52,2022-05-01,52906,355.63,51.3,82.9
53,2022-06-01,52761,938.5,13.1,88.2
54,2022-07-01,51383,1671.28,16.3,94.7
55,2022-08-01,56282,443.68,10.8,77.4
56,2022-09-01,57418,1017.08,27.6,76.9
57,2022-10-01,59285,1241.88,16.9,83.6
58,2022-11-01,54850,229.25,40.4,80.2
59,2022-12-01,56675,1492.49,46.5,90.4
60,2023-01-01,59807,1587.79,27.6,82.4
61,2023-02-01,57675,182.35,44.8,93.4
62,2023-03-01,61024,765.07,20.7,77.2
63,2023-04-01,56608,1733.13,25.2,79.6
64,2023-05-01,57670,522.39,49.7,94.1
65,2023-06-01,55521,439.42,17.5,85.0
66,2023-07-01,53360,690.25,35.3,79.5
67,2023-08-01,56723,1028.18,52.3,77.9
68,2023-09-01,59806,736.61,17.8,84.7
69,2023-10-01,60403,787.97,30.6,76.6
70,2023-11-01,59487,1198.66,26.6,76.6
71,2023-12-01,57610,649.92,36.9,98.6
