,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,42247,2320.88,41.1,88.0
1,2018-02-01,43181,1058.94,50.3,87.9
2,2018-03-01,43004,441.21,44.6,90.8
3,2018-04-01,40465,1705.75,12.0,98.6
4,2018-05-01,41457,1149.14,43.9,98.2
5,2018-06-01,38996,273.73,21.6,87.3
6,2018-07-01,39394,1556.17,35.9,85.7
7,2018-08-01,41348,1987.77,36.5,87.0
8,2018-09-01,43503,305.27,14.7,85.0
9,2018-10-01,45344,511.16,52.3,78.4
10,2018-11-01,41744,1274.5,19.3,86.6
11,2018-12-01,42360,1235.87,41.4,82.7
12,2019-01-01,44216,2072.92,15.2,95.4
13,2019-02-01,45361,1773.56,17.4,98.6
14,2019-03-01,44478,642.52,17.2,88.4
15,2019-04-01,44410,771.67,28.2,79.4
16,2019-05-01,43787,1222.3,11.3,89.7
17,2019-06-01,40688,1582.46,27.5,91.9
18,2019-07-01,40895,1942.73,46.4,76.5
19,2019-08-01,42970,2211.95,18.4,82.8
20,2019-09-01,46314,840.3,48.8,87.7
21,2019-10-01,47032,1593.18,37.5,89.1
22,2019-11-01,44215,2152.42,37.8,94.5
23,2019-12-01,45376,919.25,37.7,77.0
24,2020-01-01,46235,515.19,23.7,79.4
25,2020-02-01,48034,1399.36,28.8,78.3
26,2020-03-01,47361,667.95,38.6,91.6
27,2020-04-01,46020,2499.77,35.0,86.8
28,2020-05-01,44833,957.81,30.3,76.3
29,2020-06-01,43352,271.56,16.1,94.6
30,2020-07-01,45134,1387.24,32.3,91.4
31,2020-08-01,46188,2139.76,32.0,77.0
32,2020-09-01,47576,1962.38,23.1,81.6
33,2020-10-01,49275,628.47,30.6,92.8
34,2020-11-01,47773,1486.88,15.1,77.7
35,2020-12-01,48003,2102.39,26.5,94.7
36,2021-01-01,48425,1867.71,34.6,98.8
37,2021-02-01,48812,2117.66,43.8,82.1
38,2021-03-01,51719,1261.9,25.7,94.6
39,2021-04-01,47848,2486.4,44.9,80.7
40,2021-05-01,49123,1572.83,25.8,92.1
41,2021-06-01,46369,623.46,16.3,80.0
42,2021-07-01,45380,383.56,25.8,81.7
43,2021-08-01,48937,978.22,41.7,81.9
44,2021-09-01,50757,2180.54,54.3,91.3
45,2021-10-01,50430,2416.24,45.4,97.1
46,2021-11-01,50885,2200.86,15.7,95.8
47,2021-12-01,48879,1850.64,47.3,93.3
48,2022-01-01,52869,1351.28,36.0,81.4
49,2022-02-01,52255,1266.98,38.5,96.1
50,2022-03-01,51448,1410.13,22.5,97.5
51,2022-04-01,50029,2388.07,24.7,75.1
52,2022-05-01,51457,1898.63,42.9,86.0
53,2022-06-01,48759,1056.0,12.8,87.8
54,2022-07-01,47653,1216.7,19.5,81.4
55,2022-08-01,52234,1009.95,36.0,88.6
56,2022-09-01,53949,1023.41,40.7,76.2
57,2022-10-01,52904,2013.75,30.7,78.0
58,2022-11-01,52938,1242.89,10.0,98.0
59,2022-12-01,51096,1799.33,15.9,90.6
60,2023-01-01,53715,2348.63,22.3,90.7
61,2023-02-01,54223,1086.65,50.7,79.0
62,2023-03-01,54913,937.4,41.5,80.6
63,2023-04-01,53319,1833.32,10.0,86.4
64,2023-05-01,51857,758.93,40.6,75.2
65,2023-06-01,51158,2088.5,54.5,85.1
66,2023-07-01,49635,409.36,27.2,92.5
67,2023-08-01,52347,955.04,49.6,78.3
68,2023-09-01,57445,1944.61,16.0,98.8
69,2023-10-01,55512,1443.64,10.4,90.6
70,2023-11-01,54032,1875.47,38.3,78.6
71,2023-12-01,54138,1794.77,48.7,77.1
