,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,389247,0,22.2,89.1
1,2018-02-01,378854,0,53.4,76.4
2,2018-03-01,393542,0,27.3,75.5
3,2018-04-01,366204,0,30.0,80.4
4,2018-05-01,367926,0,39.7,87.8
5,2018-06-01,357202,0,11.4,93.3
6,2018-07-01,364841,0,51.0,93.1
7,2018-08-01,372338,0,47.3,81.3
8,2018-09-01,402763,0,19.7,75.7
9,2018-10-01,404032,0,38.0,95.8
10,2018-11-01,387925,0,51.8,93.1
11,2018-12-01,390334,0,34.9,97.9
12,2019-01-01,414818,0,22.9,98.8
13,2019-02-01,407072,0,29.1,92.3
14,2019-03-01,414710,0,21.7,98.0
15,2019-04-01,389731,0,54.7,80.7
16,2019-05-01,401901,0,22.6,91.4
17,2019-06-01,369338,0,54.9,93.5
18,2019-07-01,371516,0,35.7,75.9
19,2019-08-01,392341,0,22.1,81.0
20,2019-09-01,423364,0,44.7,75.3
21,2019-10-01,416528,0,39.7,95.1
22,2019-11-01,411559,0,30.0,75.4
23,2019-12-01,393026,0,11.7,83.6
24,2020-01-01,430635,0,35.0,84.8
25,2020-02-01,431052,0,13.6,96.5
26,2020-03-01,432232,0,52.9,85.6
27,2020-04-01,406206,0,45.4,81.2
28,2020-05-01,413872,0,20.2,79.2
29,2020-06-01,403815,0,39.5,80.6
30,2020-07-01,400413,0,18.3,87.2
31,2020-08-01,417920,0,24.3,88.3
32,2020-09-01,435072,0,52.8,98.8
33,2020-10-01,456856,0,10.7,95.3
34,2020-11-01,433752,0,34.3,76.1
35,2020-12-01,419862,0,14.9,87.2
36,2021-01-01,439443,0,13.5,79.9
37,2021-02-01,453690,0,47.3,91.3
38,2021-03-01,442014,0,29.2,81.8
39,2021-04-01,421511,0,37.3,83.6
40,2021-05-01,448112,0,50.4,84.0
41,2021-06-01,426660,0,23.2,75.7
42,2021-07-01,414045,0,23.1,78.6
43,2021-08-01,443531,0,14.8,80.1
44,2021-09-01,459855,0,42.2,92.8
45,2021-10-01,474911,0,42.1,97.6
46,2021-11-01,443294,0,36.2,90.8
47,2021-12-01,438934,0,44.3,90.6
48,2022-01-01,485572,0,53.1,98.8
49,2022-02-01,476424,0,54.9,90.1
50,2022-03-01,483148,0,34.3,77.9
51,2022-04-01,465925,0,45.9,89.6
52,2022-05-01,461756,0,33.4,82.6
53,2022-06-01,428252,0,35.9,96.9
54,2022-07-01,433451,0,46.0,98.5
55,2022-08-01,455338,0,24.2,98.3
56,2022-09-01,493501,0,30.0,98.0
57,2022-10-01,487101,0,13.6,88.5
58,2022-11-01,456335,0,26.3,86.6
59,2022-12-01,462437,0,45.4,80.5
60,2023-01-01,505187,0,54.4,97.2
61,2023-02-01,489729,0,50.9,91.2
62,2023-03-01,504208,0,37.2,94.1
63,2023-04-01,472736,0,15.3,84.8
64,2023-05-01,479226,0,16.7,86.9
65,2023-06-01,467300,0,18.9,79.3
66,2023-07-01,457298,0,17.5,85.0
67,2023-08-01,492223,0,42.0,86.3
68,2023-09-01,498404,0,49.1,95.0
69,2023-10-01,497887,0,17.5,76.8
70,2023-11-01,490366,0,33.8,84.3
71,2023-12-01,489445,0,15.7,91.7
