,Date,Enrollment,ResearchGrants_M,InternationalPct,GraduationRate
0,2018-01-01,53298,5597.86,16.1,92.2
1,2018-02-01,55060,2825.65,19.1,94.0
2,2018-03-01,55145,8141.57,24.0,84.6
3,2018-04-01,52560,11152.47,11.6,90.5
4,2018-05-01,51172,18569.6,12.2,90.7
5,2018-06-01,48812,17371.45,29.7,84.6
6,2018-07-01,49546,20369.61,25.3,79.5
7,2018-08-01,53202,9128.98,45.9,81.4
8,2018-09-01,54101,10219.45,29.4,98.9
9,2018-10-01,54687,7725.06,14.6,82.9
10,2018-11-01,52700,10628.07,42.3,79.0
11,2018-12-01,53426,10651.23,42.7,96.9
12,2019-01-01,56942,10418.66,38.8,94.0
13,2019-02-01,55309,14926.19,28.3,87.3
14,2019-03-01,57940,5172.55,11.4,95.4
15,2019-04-01,55202,10480.34,15.7,80.7
16,2019-05-01,55349,9029.83,52.7,75.8
17,2019-06-01,51279,10704.52,26.7,85.7
18,2019-07-01,51272,4747.22,26.5,82.5
19,2019-08-01,54891,20446.72,11.2,79.5
20,2019-09-01,58739,19550.39,15.3,93.6
21,2019-10-01,59664,6214.0,37.5,91.7
22,2019-11-01,58075,5939.4,16.1,76.8
23,2019-12-01,55529,15731.1,54.9,94.5
24,2020-01-01,61415,20943.84,40.1,92.0
25,2020-02-01,60184,7660.11,23.5,78.8
26,2020-03-01,61028,15480.18,17.8,83.7
27,2020-04-01,56699,20916.33,45.6,80.7
28,2020-05-01,57885,9005.91,35.8,86.2
29,2020-06-01,56852,4596.04,49.8,76.6
30,2020-07-01,55152,15799.09,31.5,84.9
31,2020-08-01,58345,13089.1,15.6,82.6
32,2020-09-01,60282,11008.1,33.3,78.1
33,2020-10-01,63355,12638.87,36.5,93.4
34,2020-11-01,58100,11714.64,49.1,95.0
35,2020-12-01,59740,7922.7,17.3,97.4
36,2021-01-01,61888,20197.98,33.4,81.8
37,2021-02-01,61594,5865.44,53.0,81.6
38,2021-03-01,63932,13843.29,14.2,90.4
39,2021-04-01,61021,13198.74,17.7,90.0
40,2021-05-01,62410,8561.78,51.6,76.0
41,2021-06-01,59402,3669.73,52.7,93.5
42,2021-07-01,57549,6142.22,35.7,89.8
43,2021-08-01,59960,19082.06,34.6,90.4
44,2021-09-01,64277,6792.27,46.3,84.7
45,2021-10-01,65132,15258.75,17.1,85.0
46,2021-11-01,62324,8610.87,16.5,95.7
47,2021-12-01,62030,20971.49,25.5,84.6
48,2022-01-01,67145,11945.82,14.8,80.8
49,2022-02-01,64873,10698.29,16.3,76.2
50,2022-03-01,68423,18608.25,28.8,98.1
51,2022-04-01,65260,17641.16,52.0,92.3
52,2022-05-01,62784,5160.25,54.8,86.2
53,2022-06-01,62404,11609.82,14.1,84.4
54,2022-07-01,61099,6713.1,36.3,76.2
55,2022-08-01,63884,13520.66,47.9,91.1
56,2022-09-01,67358,2276.02,14.8,78.2
57,2022-10-01,67533,9099.04,28.1,76.1
58,2022-11-01,63728,12839.47,26.3,81.9
59,2022-12-01,65296,10712.76,34.7,94.8
60,2023-01-01,69810,13778.7,15.8,77.3
61,2023-02-01,69033,20947.91,35.1,83.8
62,2023-03-01,68338,13614.99,28.1,76.0
63,2023-04-01,64909,15735.33,46.2,87.5
64,2023-05-01,65597,19160.95,16.3,97.4
65,2023-06-01,63203,9617.57,37.7,95.2
66,2023-07-01,64499,11799.57,32.9,86.8
67,2023-08-01,68023,11180.95,10.7,82.9
68,2023-09-01,69748,10067.59,23.8,96.6
69,2023-10-01,73287,14126.29,36.9,81.4
70,2023-11-01,69166,20666.84,36.0,80.5
71,2023-12-01,66927,11286.96,33.6,92.3
