bjd,relative_flux,flux_err,quality_flag
54953.00000000,1.0115488334,0.0006449448,0
54953.02083333,1.0103599437,0.0007140857,0
54953.04166667,1.0098840233,0.0006878393,0
54953.06250000,1.0098118335,0.0006718390,0
54953.08333333,1.0111217683,0.0006187222,0
54953.10416667,1.0108100510,0.0006187193,0
54953.12500000,1.0109205288,0.0006069700,0
54953.14583333,1.0116564942,0.0007039411,0
54953.16666667,1.0102426918,0.0006721338,0
54953.18750000,1.0117399735,0.0006849687,0
54953.20833333,0.9855718626,0.0006024701,2
54953.22916667,1.0123741561,0.0007163892,0
54953.25000000,1.0112407178,0.0006998931,0
54953.27083333,1.0102361279,0.0006254807,0
54953.29166667,1.0095348551,0.0006218190,0
54953.31250000,1.0112728185,0.0006220085,0
54953.33333333,1.0104999024,0.0006365091,0
54953.35416667,1.0105966710,0.0006629708,0
54953.37500000,1.0111545789,0.0006518334,0
54953.39583333,1.0112459399,0.0006349475,0
54953.41666667,1.0113718745,0.0006734223,0
54953.43750000,1.0097611365,0.0006167393,0
54953.45833333,1.0113239284,0.0006350574,0
54953.47916667,1.0099733127,0.0006439634,0
54953.50000000,1.0087921668,0.0006547284,0
54953.52083333,1.0093702215,0.0006942211,0
54953.54166667,1.0102393168,0.0006239609,0
54953.56250000,1.0093668988,0.0006617081,0
54953.58333333,1.0098634822,0.0006710897,0
54953.60416667,1.0100323709,0.0006055740,1
54953.62500000,1.0096077471,0.0006729054,0
54953.64583333,1.0093229592,0.0006204629,0
54953.66666667,1.0087673221,0.0006078062,0
54953.68750000,1.0094392229,0.0007138663,0
54953.70833333,1.0078399066,0.0007158758,0
54953.72916667,1.0087334652,0.0006970077,0
54953.75000000,1.0085136262,0.0006365537,0
54953.77083333,1.0088498200,0.0006117207,1
54953.79166667,1.0087425084,0.0006821080,0
54953.81250000,1.0094064814,0.0006528183,0
54953.83333333,1.0096451477,0.0006146446,0
54953.85416667,1.0078274068,0.0006594212,0
54953.87500000,1.0096618532,0.0006041266,0
54953.89583333,1.0077998193,0.0007091184,0
54953.91666667,1.0083571175,0.0006310536,0
54953.93750000,1.0084927321,0.0006795027,0
54953.95833333,1.0096029135,0.0006374053,0
54953.97916667,1.0075866190,0.0006624082,0
54954.00000000,1.0066532095,0.0006656052,0
54954.02083333,1.0086820951,0.0006221825,0
54954.04166667,1.0070660655,0.0007163502,0
54954.06250000,1.0073234508,0.0006930159,0
54954.08333333,1.0066912571,0.0007127399,0
54954.10416667,1.0071511161,0.0007073793,0
54954.12500000,1.0067604451,0.0006717480,0
54954.14583333,1.0077291064,0.0007106249,0
54954.16666667,1.0072246027,0.0006106191,1
54954.18750000,1.0066810072,0.0006235179,0
54954.20833333,1.0076425897,0.0006054273,0
54954.22916667,1.0071403125,0.0006390396,0
54954.25000000,1.0057250843,0.0006466413,0
54954.27083333,1.0074458501,0.0006325619,0
54954.29166667,1.0069425015,0.0006994485,0
54954.31250000,1.0076601650,0.0006428104,0
54954.33333333,1.0068015992,0.0006337121,0
54954.35416667,1.0061572651,0.0006651235,0
54954.37500000,1.0065224817,0.0006169109,0
54954.39583333,1.0071767826,0.0006962636,0
54954.41666667,1.0061200671,0.0006089461,0
54954.43750000,1.0062492339,0.0007184264,0
54954.45833333,1.0038755183,0.0006926694,0
54954.47916667,1.0032956374,0.0006238459,0
54954.50000000,1.0035455483,0.0006006627,0
54954.52083333,1.0041109298,0.0006978554,0
54954.54166667,1.0048080697,0.0006848229,0
54954.56250000,1.0067162274,0.0006874809,0
54954.58333333,1.0064669771,0.0006925524,0
54954.60416667,1.0059961952,0.0006088854,0
54954.62500000,1.0072130838,0.0006430159,0
54954.64583333,1.0067843319,0.0006139043,0
54954.66666667,1.0060329285,0.0007035724,1
54954.68750000,1.0071510160,0.0006747958,0
54954.70833333,1.0069193485,0.0006397078,0
54954.72916667,1.0060859857,0.0006076270,0
54954.75000000,1.0065366060,0.0006373179,0
54954.77083333,1.0063090340,0.0006390220,0
54954.79166667,1.0084589531,0.0006875527,0
54954.81250000,1.0070337488,0.0006765069,0
54954.83333333,1.0068329656,0.0007064655,0
54954.85416667,1.0070394596,0.0006566658,0
54954.87500000,1.0076052740,0.0006143513,0
54954.89583333,1.0067303794,0.0006855894,0
54954.91666667,1.0064097589,0.0006912942,0
54954.93750000,1.0074112665,0.0006673533,1
54954.95833333,1.0067570066,0.0006925161,0
54954.97916667,1.0062030073,0.0006592555,0
54955.00000000,1.0061000391,0.0006627279,0
54955.02083333,1.0079635209,0.0006513049,0
54955.04166667,1.0070754358,0.0006030503,0
54955.06250000,1.0066623108,0.0006129470,0
54955.08333333,1.0069087185,0.0006037715,0
54955.10416667,1.0076215488,0.0006763692,0
54955.12500000,1.0069120349,0.0006377227,0
54955.14583333,1.0061631028,0.0006610285,0
54955.16666667,1.0073724291,0.0007089080,1
54955.18750000,1.0079208178,0.0006299151,0
54955.20833333,1.0079168103,0.0006492460,0
54955.22916667,1.0068031464,0.0006906661,0
54955.25000000,1.0079970750,0.0006274558,0
54955.27083333,1.0073391209,0.0006092376,0
54955.29166667,1.0080031419,0.0006347702,0
54955.31250000,1.0075736546,0.0006193466,0
54955.33333333,1.0061356879,0.0007115637,0
54955.35416667,1.0084327941,0.0006969744,0
54955.37500000,1.0072441313,0.0006760085,0
54955.39583333,1.0076059939,0.0007045753,0
54955.41666667,1.0062506550,0.0006964406,0
54955.43750000,1.0074848705,0.0006223884,0
54955.45833333,1.0079304006,0.0007071071,0
54955.47916667,1.0084135515,0.0006647211,0
54955.50000000,1.0080760182,0.0006968928,0
54955.52083333,1.0074615694,0.0007075310,0
54955.54166667,1.0060495654,0.0006381604,0
54955.56250000,1.0070782498,0.0006132062,0
54955.58333333,1.0065837635,0.0006273522,0
54955.60416667,1.0070631724,0.0006512529,0
54955.62500000,1.0060119647,0.0006981618,0
54955.64583333,1.0066607392,0.0007032877,0
54955.66666667,1.0064416091,0.0006008343,0
54955.68750000,1.0063301181,0.0006612897,0
54955.70833333,1.0062794965,0.0006500893,1
54955.72916667,1.0064776335,0.0006266529,0
54955.75000000,1.0066686327,0.0006143838,0
54955.77083333,1.0048192606,0.0006405138,1
54955.79166667,1.0046484544,0.0007131492,0
54955.81250000,1.0060474284,0.0006387844,0
54955.83333333,1.0060504401,0.0006622549,0
54955.85416667,1.0062256507,0.0006843623,0
54955.87500000,1.0055400014,0.0006436356,0
54955.89583333,1.0059247144,0.0007166138,0
54955.91666667,1.0059156233,0.0007154937,0
54955.93750000,1.0052670747,0.0006302139,0
54955.95833333,1.0063013547,0.0006596698,0
54955.97916667,1.0056462570,0.0006361054,0
54956.00000000,1.0057796442,0.0006341809,1
54956.02083333,1.0171241295,0.0006044264,2
54956.04166667,1.0066424390,0.0006731477,1
54956.06250000,1.0055150188,0.0006603215,1
54956.08333333,1.0047191950,0.0006061775,0
54956.10416667,1.0054279789,0.0006334376,0
54956.12500000,1.0036391749,0.0007089919,1
54956.14583333,1.0047672264,0.0006287474,0
54956.16666667,1.0047806029,0.0006173874,0
