product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
M2_BATTERY,M2_BATTERY-WR-001,Open circuit: R12 / VBAT_NEG,WIRING,OPEN,PROG;THERMAL;LEAK,"open, 断路, R12, VBAT_NEG"
M2_BATTERY,M2_BATTERY-WR-002,Open circuit: D19 / CELL_BAL,WIRING,OPEN,CHARGE;LEAK;HIPOT,"open, 断路, D19, CELL_BAL"
M2_BATTERY,M2_BATTERY-WR-003,Open circuit: J6 / CAN_L,WIRING,OPEN,CHARGE;THERMAL;EOL;HIPOT,"open, 断路, J6, CAN_L"
M2_BATTERY,M2_BATTERY-WR-004,Open circuit: C55 / VBAT_POS,WIRING,OPEN,EOL;AOI;HIPOT,"open, 断路, C55, VBAT_POS"
M2_BATTERY,M2_BATTERY-WR-005,Open circuit: U8 / TEMP_NTC,WIRING,OPEN,HIPOT;AOI;PROG;CHARGE,"open, 断路, U8, TEMP_NTC"
M2_BATTERY,M2_BATTERY-WR-006,Open circuit: Q7 / CAN_H,WIRING,OPEN,HIPOT;THERMAL,"open, 断路, Q7, CAN_H"
M2_BATTERY,M2_BATTERY-WR-007,Short circuit: C55 / VBAT_POS,WIRING,SHORT,LEAK;HIPOT;EOL;AOI,"short, 短路, C55, VBAT_POS, bridge"
M2_BATTERY,M2_BATTERY-WR-008,Short circuit: U8 / TEMP_NTC,WIRING,SHORT,AOI;EOL;LEAK;HIPOT,"short, 短路, U8, TEMP_NTC, bridge"
M2_BATTERY,M2_BATTERY-WR-009,Short circuit: Q7 / CAN_H,WIRING,SHORT,LEAK;EOL;THERMAL;AOI,"short, 短路, Q7, CAN_H, bridge"
M2_BATTERY,M2_BATTERY-WR-010,Short circuit: T2 / FUSE_MON,WIRING,SHORT,EOL;HIPOT;CHARGE;AOI,"short, 短路, T2, FUSE_MON, bridge"
M2_BATTERY,M2_BATTERY-WR-011,Short circuit: R12 / VBAT_NEG,WIRING,SHORT,AOI;THERMAL;HIPOT;PROG,"short, 短路, R12, VBAT_NEG, bridge"
M2_BATTERY,M2_BATTERY-WR-012,Short circuit: D19 / CELL_BAL,WIRING,SHORT,EOL;CHARGE;PROG,"short, 短路, D19, CELL_BAL, bridge"
M2_BATTERY,M2_BATTERY-BD-013,Dry joint suspected: T2,BONDING,DRY_JOINT,PROG;THERMAL,"dry joint, 虚焊, 浮动, T2"
M2_BATTERY,M2_BATTERY-BD-014,Dry joint suspected: R12,BONDING,DRY_JOINT,CHARGE;LEAK,"dry joint, 虚焊, 浮动, R12"
M2_BATTERY,M2_BATTERY-BD-015,Dry joint suspected: D19,BONDING,DRY_JOINT,THERMAL;PROG;AOI,"dry joint, 虚焊, 浮动, D19"
