product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
M3_DISPLAY,M3_DISPLAY-WR-001,Open circuit: R33 / LVDS_D0,WIRING,OPEN,EOL;AOI,"open, 断路, R33, LVDS_D0"
M3_DISPLAY,M3_DISPLAY-WR-002,Open circuit: L3 / VDD_3V3,WIRING,OPEN,PROG;EOL,"open, 断路, L3, VDD_3V3"
M3_DISPLAY,M3_DISPLAY-WR-003,Open circuit: J2 / I2C_SCL,WIRING,OPEN,THERMAL;VISUAL,"open, 断路, J2, I2C_SCL"
M3_DISPLAY,M3_DISPLAY-WR-004,Open circuit: C77 / LVDS_CLK,WIRING,OPEN,AOI;VISUAL;EOL,"open, 断路, C77, LVDS_CLK"
M3_DISPLAY,M3_DISPLAY-WR-005,Open circuit: U21 / BL_PWM,WIRING,OPEN,PROG;EOL,"open, 断路, U21, BL_PWM"
M3_DISPLAY,M3_DISPLAY-WR-006,Open circuit: D11 / TOUCH_INT,WIRING,OPEN,THERMAL;VISUAL;HIL,"open, 断路, D11, TOUCH_INT"
M3_DISPLAY,M3_DISPLAY-WR-007,Short circuit: C77 / LVDS_CLK,WIRING,SHORT,VISUAL;THERMAL;PROG,"short, 短路, C77, LVDS_CLK, bridge"
M3_DISPLAY,M3_DISPLAY-WR-008,Short circuit: U21 / BL_PWM,WIRING,SHORT,PROG;EOL;THERMAL;VISUAL,"short, 短路, U21, BL_PWM, bridge"
M3_DISPLAY,M3_DISPLAY-WR-009,Short circuit: D11 / TOUCH_INT,WIRING,SHORT,EOL;HIL;PROG,"short, 短路, D11, TOUCH_INT, bridge"
M3_DISPLAY,M3_DISPLAY-WR-010,Short circuit: T8 / I2C_SDA,WIRING,SHORT,EOL;HIL;PROG;AOI,"short, 短路, T8, I2C_SDA, bridge"
M3_DISPLAY,M3_DISPLAY-WR-011,Short circuit: R33 / LVDS_D0,WIRING,SHORT,HIL;EOL;THERMAL;VISUAL,"short, 短路, R33, LVDS_D0, bridge"
M3_DISPLAY,M3_DISPLAY-WR-012,Short circuit: L3 / VDD_3V3,WIRING,SHORT,VISUAL;AOI;EOL,"short, 短路, L3, VDD_3V3, bridge"
M3_DISPLAY,M3_DISPLAY-BD-013,Dry joint suspected: T8,BONDING,DRY_JOINT,EOL;PROG,"dry joint, 虚焊, 浮动, T8"
M3_DISPLAY,M3_DISPLAY-BD-014,Dry joint suspected: R33,BONDING,DRY_JOINT,EOL;THERMAL;AOI;VISUAL,"dry joint, 虚焊, 浮动, R33"
M3_DISPLAY,M3_DISPLAY-BD-015,Dry joint suspected: L3,BONDING,DRY_JOINT,HIL;VISUAL;PROG,"dry joint, 虚焊, 浮动, L3"
M3_DISPLAY,M3_DISPLAY-BD-016,Dry joint suspected: J2,BONDING,DRY_JOINT,AOI;EOL;PROG,"dry joint, 虚焊, 浮动, J2"
M3_DISPLAY,M3_DISPLAY-BD-017,Dry joint suspected: C77,BONDING,DRY_JOINT,VISUAL;AOI;PROG,"dry joint, 虚焊, 浮动, C77"
M3_DISPLAY,M3_DISPLAY-BD-018,Dry joint suspected: U21,BONDING,DRY_JOINT,AOI;HIL;VISUAL,"dry joint, 虚焊, 浮动, U21"
M3_DISPLAY,M3_DISPLAY-EQ-019,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,PROG;VISUAL;EOL,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-020,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,EOL;HIL;PROG,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-021,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,AOI;PROG;HIL,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-022,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,THERMAL;PROG;EOL;VISUAL,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-023,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,VISUAL;THERMAL,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-024,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,PROG;VISUAL,"harness, adapter, 接触不良, 线束, reseat"
M3_DISPLAY,M3_DISPLAY-EQ-025,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,THERMAL;AOI;VISUAL;HIL,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-EQ-026,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,EOL;PROG;THERMAL,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-EQ-027,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,HIL;PROG,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-EQ-028,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,EOL;PROG;HIL,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-EQ-029,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,PROG;HIL;THERMAL,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-EQ-030,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,AOI;PROG;THERMAL,"sensor drift, 传感器漂移, offset, calibration"
M3_DISPLAY,M3_DISPLAY-FW-031,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,VISUAL;AOI;HIL;THERMAL,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-032,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,AOI;THERMAL;VISUAL;PROG,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-033,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,AOI;VISUAL,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-034,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,EOL;THERMAL,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-035,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,THERMAL;AOI;EOL,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-036,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,THERMAL;HIL;VISUAL,"flash fail, 刷写失败, write fail, program fail"
M3_DISPLAY,M3_DISPLAY-FW-037,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VISUAL;THERMAL,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-038,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,THERMAL;AOI;EOL;PROG,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-039,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VISUAL;AOI,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-040,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VISUAL;PROG;THERMAL,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-041,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,EOL;AOI;THERMAL;VISUAL,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-042,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,HIL;VISUAL;AOI;THERMAL,"param mismatch, 参数不符, variant coding, wrong config"
M3_DISPLAY,M3_DISPLAY-FW-043,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,HIL;VISUAL,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-FW-044,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,THERMAL;HIL;AOI,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-FW-045,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,THERMAL;HIL;AOI;EOL,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-FW-046,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,AOI;PROG;HIL,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-FW-047,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,PROG;EOL;THERMAL;AOI,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-FW-048,ECU boot hang at power-on,FIRMWARE,BOOT_HANG,VISUAL;HIL;PROG;EOL,"boot hang, ECU stuck, 启动卡住, no response"
M3_DISPLAY,M3_DISPLAY-AS-049,Missing component: C77,ASSEMBLY,MISSING,THERMAL;VISUAL;HIL,"missing, 缺件, C77"
M3_DISPLAY,M3_DISPLAY-AS-050,Missing component: U21,ASSEMBLY,MISSING,EOL;AOI;HIL,"missing, 缺件, U21"
M3_DISPLAY,M3_DISPLAY-AS-051,Missing component: D11,ASSEMBLY,MISSING,EOL;PROG;VISUAL,"missing, 缺件, D11"
M3_DISPLAY,M3_DISPLAY-AS-052,Missing component: T8,ASSEMBLY,MISSING,AOI;PROG;HIL,"missing, 缺件, T8"
M3_DISPLAY,M3_DISPLAY-AS-053,Missing component: R33,ASSEMBLY,MISSING,PROG;EOL,"missing, 缺件, R33"
M3_DISPLAY,M3_DISPLAY-AS-054,Missing component: L3,ASSEMBLY,MISSING,HIL;THERMAL;VISUAL,"missing, 缺件, L3"
M3_DISPLAY,M3_DISPLAY-AS-055,Wrong part installed: T8,ASSEMBLY,WRONG_PART,THERMAL;HIL;AOI;VISUAL,"wrong part, 错件, T8, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-AS-056,Wrong part installed: R33,ASSEMBLY,WRONG_PART,AOI;EOL,"wrong part, 错件, R33, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-AS-057,Wrong part installed: L3,ASSEMBLY,WRONG_PART,PROG;THERMAL;EOL;HIL,"wrong part, 错件, L3, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-AS-058,Wrong part installed: J2,ASSEMBLY,WRONG_PART,THERMAL;PROG;VISUAL,"wrong part, 错件, J2, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-AS-059,Wrong part installed: C77,ASSEMBLY,WRONG_PART,AOI;HIL,"wrong part, 错件, C77, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-AS-060,Wrong part installed: U21,ASSEMBLY,WRONG_PART,PROG;EOL,"wrong part, 错件, U21, BOM mismatch"
M3_DISPLAY,M3_DISPLAY-EV-061,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,THERMAL;VISUAL;HIL,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-062,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,VISUAL;THERMAL;HIL,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-063,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,THERMAL;VISUAL;HIL,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-064,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,THERMAL;PROG;HIL,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-065,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,HIL;EOL;AOI,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-066,Thermal cycle stress failure,ENVIRONMENT,THERMAL_FAIL,EOL;HIL;AOI;VISUAL,"thermal, 温度循环, stress, 老化"
M3_DISPLAY,M3_DISPLAY-EV-067,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,THERMAL;EOL;VISUAL;AOI,"vibration, 振动, intermittent, 松动"
M3_DISPLAY,M3_DISPLAY-EV-068,Vibration test intermittent,ENVIRONMENT,VIBRATION_FAIL,PROG;HIL;VISUAL;AOI,"vibration, 振动, intermittent, 松动"
