dive_site,px,py
zone_A/frame_001,705.72,691.0
zone_A/frame_002,638.92,440.12
zone_A/frame_003,276.98,539.2
zone_A/frame_004,144.86,492.1
zone_A/frame_004,728.9,450.92
zone_B/frame_001,660.19,353.03
zone_B/frame_001,446.65,676.18
zone_B/frame_001,588.11,385.0
zone_B/frame_002,897.24,812.55
zone_B/frame_003,343.12,464.16
zone_B/frame_004,324.68,848.09
zone_B/frame_004,226.16,755.53
zone_B/frame_004,692.7,718.04
zone_C/frame_001,736.32,709.62
zone_C/frame_002,864.81,294.78
zone_C/frame_002,301.65,797.79
zone_C/frame_002,137.18,131.44
zone_C/frame_003,752.83,612.5
zone_C/frame_003,181.37,785.41
zone_C/frame_003,721.05,453.73
zone_C/frame_004,539.78,171.42
zone_C/frame_004,852.08,446.57
zone_C/frame_004,329.85,725.9
zone_D/frame_001,362.26,669.11
zone_D/frame_001,690.98,855.72
zone_D/frame_002,472.41,530.26
zone_D/frame_002,426.6,306.52
zone_D/frame_002,615.06,105.7
zone_D/frame_003,824.1,594.46
zone_D/frame_003,225.91,212.88
zone_D/frame_003,688.07,480.41
zone_D/frame_004,457.02,888.04
zone_D/frame_004,517.08,302.89
zone_E/frame_001,317.46,383.68
zone_E/frame_001,567.59,597.57
zone_E/frame_001,485.04,689.87
zone_E/frame_002,419.19,340.7
zone_E/frame_002,168.14,811.0
zone_E/frame_002,410.48,322.99
zone_E/frame_002,491.24,658.54
zone_E/frame_003,615.0,336.79
zone_E/frame_003,454.38,407.92
zone_E/frame_004,454.47,898.83
zone_E/frame_004,884.67,678.57
zone_F/frame_001,460.6,613.62
zone_F/frame_002,170.84,614.99
zone_F/frame_002,594.54,602.82
zone_F/frame_003,237.19,427.41
zone_F/frame_003,348.88,622.32
zone_F/frame_003,761.71,284.93
zone_F/frame_003,498.08,636.37
zone_F/frame_004,572.96,479.28
zone_F/frame_004,162.59,137.7
zone_F/frame_004,616.4,535.97
zone_F/frame_004,584.74,598.4
zone_G/frame_001,306.67,340.41
zone_G/frame_001,129.76,215.54
zone_G/frame_001,312.85,763.76
zone_G/frame_001,450.26,513.99
zone_G/frame_002,798.89,764.99
zone_G/frame_003,473.06,216.28
zone_G/frame_003,689.41,688.03
zone_G/frame_004,514.95,767.87
zone_G/frame_004,122.94,479.64
zone_H/frame_001,505.03,252.28
zone_H/frame_001,138.34,847.78
zone_H/frame_001,788.11,849.9
zone_H/frame_002,523.84,751.71
zone_H/frame_003,120.39,703.75
zone_H/frame_003,229.13,888.79
zone_H/frame_003,273.08,623.42
zone_H/frame_004,530.53,158.87
zone_H/frame_004,540.38,672.84
zone_H/frame_004,586.37,161.97
zone_H/frame_004,280.3,140.43
zone_I/frame_001,710.05,204.33
zone_I/frame_002,422.4,569.54
zone_I/frame_002,497.28,531.32
zone_I/frame_003,836.26,323.09
zone_I/frame_004,715.54,364.72
zone_J/frame_001,673.36,502.08
zone_J/frame_002,473.2,164.92
zone_J/frame_002,698.89,553.79
zone_J/frame_003,289.47,526.24
zone_J/frame_003,292.3,361.63
zone_J/frame_003,580.62,604.98
zone_J/frame_003,294.32,766.29
zone_J/frame_004,564.07,674.74
zone_J/frame_004,254.44,416.24
zone_J/frame_004,281.75,283.42
zone_K/frame_001,892.3,260.83
zone_K/frame_002,191.84,238.56
zone_K/frame_003,160.94,294.52
zone_K/frame_003,447.64,169.44
zone_K/frame_004,848.71,765.21
zone_K/frame_004,398.92,835.81
zone_K/frame_005,710.9,797.25
